date,level,people,holding_shares,percent
2026-03-13,"1,000-5,000",19816,39578854,15.95
2026-03-13,1-999,41458,1881559,0.75
2026-03-13,"10,001-15,000",847,10796006,4.35
2026-03-13,"100,001-200,000",117,15864646,6.39
2026-03-13,"15,001-20,000",505,9250280,3.72
2026-03-13,"20,001-30,000",477,12049389,4.85
2026-03-13,"200,001-400,000",46,12159123,4.9
2026-03-13,"30,001-40,000",222,7971942,3.21
2026-03-13,"40,001-50,000",145,6685752,2.69
2026-03-13,"400,001-600,000",18,8785628,3.54
2026-03-13,"5,001-10,000",2776,21726069,8.75
2026-03-13,"50,001-100,000",239,17065987,6.87
2026-03-13,"600,001-800,000",10,6832496,2.75
2026-03-13,"800,001-1,000,000",6,5359912,2.16
2026-03-13,"more than 1,000,001",33,72070514,29.05
2026-03-13,total,66715,248078157,100.0
2026-03-13,差異數調整（說明4）,0,0,0.0
2026-03-20,"1,000-5,000",20810,41602594,16.76
2026-03-20,1-999,43262,1892289,0.76
2026-03-20,"10,001-15,000",866,11068643,4.46
2026-03-20,"100,001-200,000",118,15986261,6.44
2026-03-20,"15,001-20,000",541,9934205,4.0
2026-03-20,"20,001-30,000",476,12049613,4.85
2026-03-20,"200,001-400,000",44,11645064,4.69
2026-03-20,"30,001-40,000",240,8632973,3.47
2026-03-20,"40,001-50,000",140,6460197,2.6
2026-03-20,"400,001-600,000",21,10060433,4.05
2026-03-20,"5,001-10,000",2844,22396135,9.02
2026-03-20,"50,001-100,000",251,17923874,7.22
2026-03-20,"600,001-800,000",12,8229499,3.31
2026-03-20,"800,001-1,000,000",5,4564912,1.84
2026-03-20,"more than 1,000,001",29,65631465,26.45
2026-03-20,total,69659,248078157,100.0
2026-03-20,差異數調整（說明4）,0,0,0.0
2026-03-27,"1,000-5,000",21275,42475336,17.12
2026-03-27,1-999,45644,1917943,0.77
2026-03-27,"10,001-15,000",860,11003035,4.43
2026-03-27,"100,001-200,000",120,16306414,6.57
2026-03-27,"15,001-20,000",548,10088911,4.06
2026-03-27,"20,001-30,000",481,12216588,4.92
2026-03-27,"200,001-400,000",50,13576711,5.47
2026-03-27,"30,001-40,000",237,8511361,3.43
2026-03-27,"40,001-50,000",141,6483832,2.61
2026-03-27,"400,001-600,000",17,8165249,3.29
2026-03-27,"5,001-10,000",2883,22683618,9.14
2026-03-27,"50,001-100,000",246,17533640,7.06
2026-03-27,"600,001-800,000",13,8866717,3.57
2026-03-27,"800,001-1,000,000",6,5308839,2.13
2026-03-27,"more than 1,000,001",27,62939963,25.37
2026-03-27,total,72548,248078157,100.0
2026-03-27,差異數調整（說明4）,0,0,0.0
2026-04-02,"1,000-5,000",21594,43300412,17.45
2026-04-02,1-999,45520,1936857,0.78
2026-04-02,"10,001-15,000",880,11258818,4.53
2026-04-02,"100,001-200,000",116,15604717,6.29
2026-04-02,"15,001-20,000",561,10310156,4.15
2026-04-02,"20,001-30,000",498,12702927,5.12
2026-04-02,"200,001-400,000",46,12030064,4.84
2026-04-02,"30,001-40,000",235,8432603,3.39
2026-04-02,"40,001-50,000",146,6705422,2.7
2026-04-02,"400,001-600,000",22,10616498,4.27
2026-04-02,"5,001-10,000",2965,23331110,9.4
2026-04-02,"50,001-100,000",255,18141430,7.31
2026-04-02,"600,001-800,000",11,7608167,3.06
2026-04-02,"800,001-1,000,000",4,3514839,1.41
2026-04-02,"more than 1,000,001",27,62584137,25.22
2026-04-02,total,72880,248078157,100.0
2026-04-02,差異數調整（說明4）,0,0,0.0
2026-04-10,"1,000-5,000",21669,43583769,17.56
2026-04-10,1-999,45555,1950284,0.78
2026-04-10,"10,001-15,000",907,11634156,4.68
2026-04-10,"100,001-200,000",120,16091799,6.48
2026-04-10,"15,001-20,000",572,10562799,4.25
2026-04-10,"20,001-30,000",491,12509138,5.04
2026-04-10,"200,001-400,000",45,11748064,4.73
2026-04-10,"30,001-40,000",240,8591439,3.46
2026-04-10,"40,001-50,000",147,6750207,2.72
2026-04-10,"400,001-600,000",20,9624036,3.87
2026-04-10,"5,001-10,000",2997,23544653,9.49
2026-04-10,"50,001-100,000",259,18253619,7.35
2026-04-10,"600,001-800,000",11,7573007,3.05
2026-04-10,"800,001-1,000,000",5,4419996,1.78
2026-04-10,"more than 1,000,001",26,61241191,24.68
2026-04-10,total,73064,248078157,100.0
2026-04-10,差異數調整（說明4）,0,0,0.0
