date,level,people,holding_shares,percent
2015-01-30,"1,000-5,000",1033,2535422,7.12
2015-01-30,1-999,1384,10951,0.03
2015-01-30,"10,001-15,000",63,816008,2.29
2015-01-30,"100,001-200,000",27,3758937,10.56
2015-01-30,"15,001-20,000",74,1413000,3.97
2015-01-30,"20,001-30,000",47,1233544,3.46
2015-01-30,"200,001-400,000",12,3034708,8.52
2015-01-30,"30,001-40,000",34,1232624,3.46
2015-01-30,"40,001-50,000",23,1050000,2.95
2015-01-30,"400,001-600,000",6,2577356,7.24
2015-01-30,"5,001-10,000",236,2063243,5.79
2015-01-30,"50,001-100,000",40,2861349,8.04
2015-01-30,"600,001-800,000",0,0,0.0
2015-01-30,"800,001-1,000,000",2,1754025,4.92
2015-01-30,"more than 1,000,001",8,11239833,31.58
2015-01-30,total,2989,35581000,100.0
2015-02-26,"1,000-5,000",1011,2482584,6.97
2015-02-26,1-999,1532,10789,0.03
2015-02-26,"10,001-15,000",67,874008,2.45
2015-02-26,"100,001-200,000",26,3604937,10.13
2015-02-26,"15,001-20,000",71,1361000,3.82
2015-02-26,"20,001-30,000",47,1205544,3.38
2015-02-26,"200,001-400,000",15,3990708,11.21
2015-02-26,"30,001-40,000",32,1162624,3.26
2015-02-26,"40,001-50,000",19,884000,2.48
2015-02-26,"400,001-600,000",5,2167356,6.09
2015-02-26,"5,001-10,000",251,2223243,6.24
2015-02-26,"50,001-100,000",43,3026349,8.5
2015-02-26,"600,001-800,000",0,0,0.0
2015-02-26,"800,001-1,000,000",3,2718025,7.63
2015-02-26,"more than 1,000,001",7,9869833,27.73
2015-02-26,total,3129,35581000,100.0
2015-03-31,"1,000-5,000",1010,2489585,6.99
2015-03-31,1-999,3893,14788,0.04
2015-03-31,"10,001-15,000",66,873008,2.45
2015-03-31,"100,001-200,000",27,3784937,10.63
2015-03-31,"15,001-20,000",70,1336000,3.75
2015-03-31,"20,001-30,000",49,1256544,3.53
2015-03-31,"200,001-400,000",15,4007708,11.26
2015-03-31,"30,001-40,000",32,1172624,3.29
2015-03-31,"40,001-50,000",18,820000,2.3
2015-03-31,"400,001-600,000",5,2164356,6.08
