date,level,people,holding_shares,percent
2015-01-30,"1,000-5,000",1254,2839496,6.17
2015-01-30,1-999,2475,173922,0.37
2015-01-30,"10,001-15,000",108,1365574,2.97
2015-01-30,"100,001-200,000",26,3924676,8.54
2015-01-30,"15,001-20,000",80,1456846,3.17
2015-01-30,"20,001-30,000",76,1895821,4.12
2015-01-30,"200,001-400,000",6,1619000,3.52
2015-01-30,"30,001-40,000",35,1280937,2.78
2015-01-30,"40,001-50,000",18,852765,1.85
2015-01-30,"400,001-600,000",3,1500000,3.26
2015-01-30,"5,001-10,000",261,1944526,4.23
2015-01-30,"50,001-100,000",51,3766087,8.19
2015-01-30,"600,001-800,000",1,768323,1.67
2015-01-30,"800,001-1,000,000",1,927074,2.01
2015-01-30,"more than 1,000,001",7,21638573,47.08
2015-01-30,total,4402,45953620,100.0
2015-02-26,"1,000-5,000",1241,2804577,6.1
2015-02-26,1-999,2531,173841,0.37
2015-02-26,"10,001-15,000",110,1389574,3.02
2015-02-26,"100,001-200,000",26,3929676,8.55
2015-02-26,"15,001-20,000",80,1455846,3.16
2015-02-26,"20,001-30,000",78,1934821,4.21
2015-02-26,"200,001-400,000",6,1649000,3.58
2015-02-26,"30,001-40,000",33,1207937,2.62
2015-02-26,"40,001-50,000",17,808765,1.75
2015-02-26,"400,001-600,000",3,1500000,3.26
2015-02-26,"5,001-10,000",261,1938526,4.21
2015-02-26,"50,001-100,000",52,3827087,8.32
2015-02-26,"600,001-800,000",1,768323,1.67
2015-02-26,"800,001-1,000,000",1,927074,2.01
2015-02-26,"more than 1,000,001",7,21638573,47.08
2015-02-26,total,4447,45953620,100.0
2015-03-31,"1,000-5,000",1254,2846733,6.17
2015-03-31,1-999,2705,174796,0.37
2015-03-31,"10,001-15,000",105,1330574,2.88
2015-03-31,"100,001-200,000",25,3771676,8.17
2015-03-31,"15,001-20,000",81,1485339,3.22
2015-03-31,"20,001-30,000",82,2051328,4.44
2015-03-31,"200,001-400,000",7,1913000,4.14
2015-03-31,"30,001-40,000",35,1279937,2.77
2015-03-31,"40,001-50,000",18,852765,1.84
2015-03-31,"400,001-600,000",3,1500000,3.25
2015-03-31,"5,001-10,000",254,1899415,4.11
2015-03-31,"50,001-100,000",48,3611087,7.82
2015-03-31,"600,001-800,000",1,768323,1.66
2015-03-31,"800,001-1,000,000",1,927074,2.0
2015-03-31,"more than 1,000,001",7,21713573,47.07
2015-03-31,total,4626,46125620,100.0
2015-04-30,"1,000-5,000",1228,2781147,6.02
2015-04-30,1-999,2745,172702,0.37
2015-04-30,"10,001-15,000",108,1368574,2.96
2015-04-30,"100,001-200,000",25,3768676,8.17
2015-04-30,"15,001-20,000",80,1465331,3.17
2015-04-30,"20,001-30,000",82,2044328,4.43
2015-04-30,"200,001-400,000",7,1910000,4.14
2015-04-30,"30,001-40,000",33,1194123,2.58
2015-04-30,"40,001-50,000",20,953765,2.06
2015-04-30,"400,001-600,000",3,1500000,3.25
2015-04-30,"5,001-10,000",260,1930917,4.18
2015-04-30,"50,001-100,000",48,3627087,7.86
2015-04-30,"600,001-800,000",1,768323,1.66
2015-04-30,"800,001-1,000,000",1,927074,2.0
2015-04-30,"more than 1,000,001",7,21713573,47.07
2015-04-30,total,4648,46125620,100.0
2015-05-08,"1,000-5,000",1234,2792097,6.05
2015-05-08,1-999,2740,172752,0.37
2015-05-08,"10,001-15,000",108,1368574,2.96
2015-05-08,"100,001-200,000",24,3581676,7.76
2015-05-08,"15,001-20,000",78,1426331,3.09
2015-05-08,"20,001-30,000",80,1995328,4.32
2015-05-08,"200,001-400,000",8,2120000,4.59
2015-05-08,"30,001-40,000",32,1162123,2.51
2015-05-08,"40,001-50,000",22,1040765,2.25
2015-05-08,"400,001-600,000",3,1500000,3.25
2015-05-08,"5,001-10,000",260,1934917,4.19
2015-05-08,"50,001-100,000",48,3622087,7.85
2015-05-08,"600,001-800,000",1,768323,1.66
2015-05-08,"800,001-1,000,000",1,927074,2.0
2015-05-08,"more than 1,000,001",7,21713573,47.07
2015-05-08,total,4646,46125620,100.0
2015-05-15,"1,000-5,000",1235,2802953,6.07
2015-05-15,1-999,2756,171896,0.37
2015-05-15,"10,001-15,000",111,1406574,3.04
2015-05-15,"100,001-200,000",24,3576676,7.75
2015-05-15,"15,001-20,000",79,1441331,3.12
2015-05-15,"20,001-30,000",80,1990328,4.31
2015-05-15,"200,001-400,000",8,2110000,4.57
2015-05-15,"30,001-40,000",32,1162123,2.51
2015-05-15,"40,001-50,000",22,1039765,2.25
2015-05-15,"400,001-600,000",3,1500000,3.25
2015-05-15,"5,001-10,000",256,1897917,4.11
2015-05-15,"50,001-100,000",48,3617087,7.84
2015-05-15,"600,001-800,000",1,768323,1.66
2015-05-15,"800,001-1,000,000",1,927074,2.0
2015-05-15,"more than 1,000,001",7,21713573,47.07
2015-05-15,total,4663,46125620,100.0
2015-05-22,"1,000-5,000",1237,2815845,6.1
2015-05-22,1-999,2778,171958,0.37
2015-05-22,"10,001-15,000",108,1369574,2.96
2015-05-22,"100,001-200,000",24,3586676,7.77
2015-05-22,"15,001-20,000",77,1404377,3.04
2015-05-22,"20,001-30,000",82,2041328,4.42
2015-05-22,"200,001-400,000",8,2073000,4.49
2015-05-22,"30,001-40,000",32,1162123,2.51
2015-05-22,"40,001-50,000",21,1001765,2.17
2015-05-22,"400,001-600,000",3,1500000,3.25
2015-05-22,"5,001-10,000",258,1915917,4.15
2015-05-22,"50,001-100,000",49,3674087,7.96
2015-05-22,"600,001-800,000",1,768323,1.66
2015-05-22,"800,001-1,000,000",1,927074,2.0
2015-05-22,"more than 1,000,001",7,21713573,47.07
2015-05-22,total,4686,46125620,100.0
2015-05-29,"1,000-5,000",1239,2818827,6.11
2015-05-29,1-999,2778,171958,0.37
2015-05-29,"10,001-15,000",108,1370574,2.97
2015-05-29,"100,001-200,000",25,3771676,8.17
2015-05-29,"15,001-20,000",77,1404395,3.04
2015-05-29,"20,001-30,000",82,2042328,4.42
2015-05-29,"200,001-400,000",7,1860000,4.03
2015-05-29,"30,001-40,000",32,1162123,2.51
2015-05-29,"40,001-50,000",21,1001765,2.17
2015-05-29,"400,001-600,000",3,1500000,3.25
2015-05-29,"5,001-10,000",259,1923917,4.17
2015-05-29,"50,001-100,000",49,3689087,7.99
2015-05-29,"600,001-800,000",1,768323,1.66
2015-05-29,"800,001-1,000,000",1,927074,2.0
2015-05-29,"more than 1,000,001",7,21713573,47.07
2015-05-29,total,4689,46125620,100.0
2015-06-05,"1,000-5,000",1235,2814827,6.1
2015-06-05,1-999,2778,171958,0.37
2015-06-05,"10,001-15,000",108,1370574,2.97
2015-06-05,"100,001-200,000",25,3756676,8.14
2015-06-05,"15,001-20,000",78,1422395,3.08
2015-06-05,"20,001-30,000",81,2019328,4.37
2015-06-05,"200,001-400,000",7,1860000,4.03
2015-06-05,"30,001-40,000",33,1197123,2.59
2015-06-05,"40,001-50,000",21,1001765,2.17
2015-06-05,"400,001-600,000",3,1500000,3.25
2015-06-05,"5,001-10,000",258,1913917,4.14
2015-06-05,"50,001-100,000",49,3688087,7.99
2015-06-05,"600,001-800,000",1,768323,1.66
2015-06-05,"800,001-1,000,000",1,927074,2.0
2015-06-05,"more than 1,000,001",7,21713573,47.07
2015-06-05,total,4685,46125620,100.0
2015-06-12,"1,000-5,000",1237,2833827,6.14
2015-06-12,1-999,2778,171958,0.37
2015-06-12,"10,001-15,000",109,1386574,3.0
2015-06-12,"100,001-200,000",25,3719676,8.06
2015-06-12,"15,001-20,000",76,1385530,3.0
2015-06-12,"20,001-30,000",81,2018193,4.37
2015-06-12,"200,001-400,000",7,1860000,4.03
2015-06-12,"30,001-40,000",33,1199123,2.59
2015-06-12,"40,001-50,000",22,1055765,2.28
2015-06-12,"400,001-600,000",3,1500000,3.25
2015-06-12,"5,001-10,000",262,1943917,4.21
2015-06-12,"50,001-100,000",48,3642087,7.89
2015-06-12,"600,001-800,000",1,768323,1.66
2015-06-12,"800,001-1,000,000",1,927074,2.0
2015-06-12,"more than 1,000,001",7,21713573,47.07
2015-06-12,total,4690,46125620,100.0
2015-06-18,"1,000-5,000",1234,2828726,6.13
2015-06-18,1-999,2779,172059,0.37
2015-06-18,"10,001-15,000",110,1398574,3.03
2015-06-18,"100,001-200,000",25,3714676,8.05
2015-06-18,"15,001-20,000",76,1385530,3.0
2015-06-18,"20,001-30,000",80,1988193,4.31
2015-06-18,"200,001-400,000",7,1860000,4.03
2015-06-18,"30,001-40,000",35,1274123,2.76
2015-06-18,"40,001-50,000",21,1005765,2.18
2015-06-18,"400,001-600,000",3,1500000,3.25
2015-06-18,"5,001-10,000",262,1940917,4.2
