date,level,people,holding_shares,percent
2026-04-24,"15,001-20,000",8388,144809140,1.04
2026-04-24,"20,001-30,000",9434,226515799,1.62
2026-04-24,"200,001-400,000",1170,317495755,2.28
2026-04-24,"30,001-40,000",5005,171906803,1.23
2026-04-24,"40,001-50,000",2808,125027451,0.89
2026-04-24,"400,001-600,000",336,161989684,1.16
2026-04-24,"5,001-10,000",35284,241769776,1.73
2026-04-24,"50,001-100,000",5983,411304995,2.95
2026-04-24,"600,001-800,000",142,96464648,0.69
2026-04-24,"800,001-1,000,000",105,93542448,0.67
2026-04-24,"more than 1,000,001",565,10939041389,78.6
2026-04-24,total,490506,13916965089,100.0
2026-04-24,差異數調整（說明4）,0,0,0.0
2026-04-30,"1,000-5,000",166500,328244049,2.35
2026-04-30,1-999,235063,22362947,0.16
2026-04-30,"10,001-15,000",18573,221339431,1.59
2026-04-30,"100,001-200,000",3146,425384524,3.05
2026-04-30,"15,001-20,000",8470,146421046,1.05
2026-04-30,"20,001-30,000",9478,227626317,1.63
2026-04-30,"200,001-400,000",1173,318491136,2.28
2026-04-30,"30,001-40,000",5067,174156637,1.25
2026-04-30,"40,001-50,000",2838,126434763,0.9
2026-04-30,"400,001-600,000",334,160805964,1.15
2026-04-30,"5,001-10,000",35815,245852314,1.76
2026-04-30,"50,001-100,000",6004,412638464,2.96
2026-04-30,"600,001-800,000",141,95508561,0.68
2026-04-30,"800,001-1,000,000",106,94638903,0.68
2026-04-30,"more than 1,000,001",565,10917060033,78.44
2026-04-30,total,493273,13916965089,100.0
2026-04-30,差異數調整（說明4）,0,0,0.0
2026-05-08,"1,000-5,000",167182,330124097,2.37
2026-05-08,1-999,233864,22290536,0.16
2026-05-08,"10,001-15,000",18623,222032567,1.59
2026-05-08,"100,001-200,000",3162,427256264,3.07
2026-05-08,"15,001-20,000",8510,147143304,1.05
2026-05-08,"20,001-30,000",9500,228096713,1.63
2026-05-08,"200,001-400,000",1183,320796800,2.3
2026-05-08,"30,001-40,000",5058,173822094,1.24
2026-05-08,"40,001-50,000",2862,127572102,0.91
2026-05-08,"400,001-600,000",336,161927905,1.16
2026-05-08,"5,001-10,000",36008,247390999,1.77
2026-05-08,"50,001-100,000",6048,415616791,2.98
2026-05-08,"600,001-800,000",139,93690961,0.67
2026-05-08,"800,001-1,000,000",105,93436002,0.67
2026-05-08,"more than 1,000,001",568,10905767954,78.36
2026-05-08,total,493148,13916965089,100.0
2026-05-08,差異數調整（說明4）,0,0,0.0
2026-05-15,"1,000-5,000",167828,331522578,2.38
2026-05-15,1-999,233128,22243671,0.15
2026-05-15,"10,001-15,000",18642,222292110,1.59
2026-05-15,"100,001-200,000",3161,427057226,3.06
2026-05-15,"15,001-20,000",8485,146700839,1.05
2026-05-15,"20,001-30,000",9499,228063099,1.63
2026-05-15,"200,001-400,000",1181,319971308,2.29
2026-05-15,"30,001-40,000",5076,174406551,1.25
2026-05-15,"40,001-50,000",2852,127131065,0.91
2026-05-15,"400,001-600,000",335,161353807,1.15
2026-05-15,"5,001-10,000",36076,247987831,1.78
2026-05-15,"50,001-100,000",6050,415497969,2.98
2026-05-15,"600,001-800,000",140,94134416,0.67
2026-05-15,"800,001-1,000,000",104,92702518,0.66
2026-05-15,"more than 1,000,001",566,10905900101,78.36
2026-05-15,total,493123,13916965089,100.0
2026-05-15,差異數調整（說明4）,0,0,0.0
2026-05-22,"1,000-5,000",168519,333051895,2.39
2026-05-22,1-999,232234,22183064,0.15
2026-05-22,"10,001-15,000",18694,222937405,1.6
2026-05-22,"100,001-200,000",3158,426560088,3.06
2026-05-22,"15,001-20,000",8507,147107128,1.05
2026-05-22,"20,001-30,000",9507,228253412,1.64
2026-05-22,"200,001-400,000",1182,320631329,2.3
2026-05-22,"30,001-40,000",5091,174987584,1.25
2026-05-22,"40,001-50,000",2866,127753909,0.91
2026-05-22,"400,001-600,000",329,158758842,1.14
2026-05-22,"5,001-10,000",36219,249245583,1.79
2026-05-22,"50,001-100,000",6068,416869207,2.99
2026-05-22,"600,001-800,000",133,89111097,0.64
2026-05-22,"800,001-1,000,000",104,92751445,0.66
2026-05-22,"more than 1,000,001",572,10906763101,78.37
2026-05-22,total,493183,13916965089,100.0
2026-05-22,差異數調整（說明4）,0,0,0.0
2026-05-29,"1,000-5,000",171946,342112547,2.45
2026-05-29,1-999,230075,22068760,0.15
2026-05-29,"10,001-15,000",19121,228454254,1.64
2026-05-29,"100,001-200,000",3187,430790111,3.09
2026-05-29,"15,001-20,000",8673,150183963,1.07
2026-05-29,"20,001-30,000",9664,232351439,1.66
2026-05-29,"200,001-400,000",1197,324161433,2.32
2026-05-29,"30,001-40,000",5156,177220252,1.27
2026-05-29,"40,001-50,000",2913,129883502,0.93
2026-05-29,"400,001-600,000",331,159621946,1.14
2026-05-29,"5,001-10,000",37164,256590256,1.84
2026-05-29,"50,001-100,000",6154,423348250,3.04
2026-05-29,"600,001-800,000",133,89332112,0.64
2026-05-29,"800,001-1,000,000",104,92694555,0.66
2026-05-29,"more than 1,000,001",570,10858151709,78.02
2026-05-29,total,496388,13916965089,100.0
2026-05-29,差異數調整（說明4）,0,0,0.0
2026-06-05,"1,000-5,000",166415,329913363,2.37
2026-06-05,1-999,228784,22002405,0.15
2026-06-05,"10,001-15,000",18466,220464541,1.58
2026-06-05,"100,001-200,000",3107,419122204,3.01
2026-06-05,"15,001-20,000",8377,144921700,1.04
2026-06-05,"20,001-30,000",9382,225483727,1.62
2026-06-05,"200,001-400,000",1178,318591881,2.28
2026-06-05,"30,001-40,000",4983,171171571,1.22
2026-06-05,"40,001-50,000",2813,125385204,0.9
2026-06-05,"400,001-600,000",330,159353167,1.14
