date,level,people,holding_shares,percent
2015-01-30,"1,000-5,000",4280,8454421,4.66
2015-01-30,1-999,998,177852,0.09
2015-01-30,"10,001-15,000",158,2035238,1.12
2015-01-30,"100,001-200,000",19,2537831,1.4
2015-01-30,"15,001-20,000",110,2053776,1.13
2015-01-30,"20,001-30,000",79,2037004,1.12
2015-01-30,"200,001-400,000",16,4416900,2.43
2015-01-30,"30,001-40,000",38,1359502,0.75
2015-01-30,"40,001-50,000",24,1083400,0.59
2015-01-30,"400,001-600,000",2,1041000,0.57
2015-01-30,"5,001-10,000",565,4602795,2.54
2015-01-30,"50,001-100,000",43,2908368,1.6
2015-01-30,"600,001-800,000",1,711783,0.39
2015-01-30,"800,001-1,000,000",3,2610661,1.44
2015-01-30,"more than 1,000,001",12,145159580,80.11
2015-01-30,total,6348,181190111,100.0
2015-02-26,"1,000-5,000",4274,8463469,4.67
2015-02-26,1-999,994,176076,0.09
2015-02-26,"10,001-15,000",148,1900409,1.04
2015-02-26,"100,001-200,000",20,2803800,1.54
2015-02-26,"15,001-20,000",111,2087776,1.15
2015-02-26,"20,001-30,000",78,1989800,1.09
2015-02-26,"200,001-400,000",18,4909068,2.7
2015-02-26,"30,001-40,000",42,1508484,0.83
2015-02-26,"40,001-50,000",24,1086400,0.59
2015-02-26,"400,001-600,000",2,1128000,0.62
2015-02-26,"5,001-10,000",567,4625666,2.55
2015-02-26,"50,001-100,000",46,3150868,1.73
2015-02-26,"600,001-800,000",2,1423783,0.78
2015-02-26,"800,001-1,000,000",2,1760661,0.97
2015-02-26,"more than 1,000,001",12,144175851,79.57
2015-02-26,total,6340,181190111,100.0
2015-03-31,"1,000-5,000",4506,8957270,4.94
2015-03-31,1-999,991,176240,0.09
2015-03-31,"10,001-15,000",158,2029409,1.12
2015-03-31,"100,001-200,000",24,3448025,1.9
2015-03-31,"15,001-20,000",114,2124600,1.17
2015-03-31,"20,001-30,000",91,2331528,1.28
2015-03-31,"200,001-400,000",16,4600068,2.53
2015-03-31,"30,001-40,000",41,1472280,0.81
2015-03-31,"40,001-50,000",24,1090400,0.6
2015-03-31,"400,001-600,000",1,560000,0.3
2015-03-31,"5,001-10,000",594,4794066,2.64
2015-03-31,"50,001-100,000",44,3037816,1.67
2015-03-31,"600,001-800,000",2,1378783,0.76
2015-03-31,"800,001-1,000,000",2,1750000,0.96
2015-03-31,"more than 1,000,001",11,143439626,79.16
2015-03-31,total,6619,181190111,100.0
2015-04-30,"1,000-5,000",4638,9213489,5.08
2015-04-30,1-999,1001,177745,0.09
2015-04-30,"10,001-15,000",187,2408459,1.32
2015-04-30,"100,001-200,000",21,2957800,1.63
2015-04-30,"15,001-20,000",122,2278600,1.25
2015-04-30,"20,001-30,000",96,2435717,1.34
2015-04-30,"200,001-400,000",13,3791000,2.09
2015-04-30,"30,001-40,000",50,1815280,1.0
2015-04-30,"40,001-50,000",23,1070400,0.59
2015-04-30,"400,001-600,000",4,2090067,1.15
2015-04-30,"5,001-10,000",647,5214668,2.87
2015-04-30,"50,001-100,000",46,3235260,1.78
2015-04-30,"600,001-800,000",2,1348000,0.74
2015-04-30,"800,001-1,000,000",1,846000,0.46
2015-04-30,"more than 1,000,001",11,142307626,78.54
2015-04-30,total,6862,181190111,100.0
2015-05-08,"1,000-5,000",4725,9396069,5.18
2015-05-08,1-999,998,178722,0.09
2015-05-08,"10,001-15,000",177,2275459,1.25
2015-05-08,"100,001-200,000",18,2622800,1.44
2015-05-08,"15,001-20,000",125,2361600,1.3
2015-05-08,"20,001-30,000",102,2615974,1.44
2015-05-08,"200,001-400,000",13,3988068,2.2
2015-05-08,"30,001-40,000",46,1667280,0.92
2015-05-08,"40,001-50,000",22,1017400,0.56
2015-05-08,"400,001-600,000",3,1673999,0.92
2015-05-08,"5,001-10,000",646,5237854,2.89
2015-05-08,"50,001-100,000",49,3528260,1.94
2015-05-08,"600,001-800,000",2,1368000,0.75
2015-05-08,"800,001-1,000,000",1,836000,0.46
2015-05-08,"more than 1,000,001",11,142422626,78.6
2015-05-08,total,6938,181190111,100.0
2015-05-15,"1,000-5,000",4824,9656299,5.32
2015-05-15,1-999,999,178352,0.09
2015-05-15,"10,001-15,000",188,2427959,1.34
2015-05-15,"100,001-200,000",17,2374800,1.31
2015-05-15,"15,001-20,000",120,2267600,1.25
2015-05-15,"20,001-30,000",107,2725740,1.5
2015-05-15,"200,001-400,000",13,4034068,2.22
2015-05-15,"30,001-40,000",49,1781154,0.98
2015-05-15,"40,001-50,000",23,1061400,0.58
2015-05-15,"400,001-600,000",2,1012999,0.55
2015-05-15,"5,001-10,000",662,5371854,2.96
2015-05-15,"50,001-100,000",45,3094260,1.7
2015-05-15,"600,001-800,000",3,2178000,1.2
2015-05-15,"800,001-1,000,000",0,0,0.0
2015-05-15,"more than 1,000,001",11,143025626,78.93
2015-05-15,total,7063,181190111,100.0
2015-05-22,"1,000-5,000",4851,9730515,5.37
2015-05-22,1-999,999,179436,0.09
2015-05-22,"10,001-15,000",183,2358459,1.3
2015-05-22,"100,001-200,000",17,2345800,1.29
2015-05-22,"15,001-20,000",123,2333600,1.28
2015-05-22,"20,001-30,000",106,2706740,1.49
2015-05-22,"200,001-400,000",13,3989975,2.2
2015-05-22,"30,001-40,000",49,1787154,0.98
2015-05-22,"40,001-50,000",25,1171400,0.64
2015-05-22,"400,001-600,000",2,1035999,0.57
2015-05-22,"5,001-10,000",672,5454054,3.01
2015-05-22,"50,001-100,000",42,2889353,1.59
2015-05-22,"600,001-800,000",3,2178000,1.2
2015-05-22,"800,001-1,000,000",0,0,0.0
2015-05-22,"more than 1,000,001",11,143029626,78.93
2015-05-22,total,7096,181190111,100.0
2015-05-29,"1,000-5,000",4882,9792115,5.4
2015-05-29,1-999,998,179424,0.09
