date,TotalExchangeMarginMaintenance
2016-03-17,169.242
2016-03-18,170.682
2016-03-21,171.453
2016-03-22,170.288
2016-03-23,169.335
2016-03-24,168.596
2016-03-25,168.006
2016-03-28,166.673
2016-03-29,164.151
2016-03-30,161.285
2016-03-31,166.906
2016-04-01,165.944
2016-04-06,165.16
2016-04-07,164.219
2016-04-08,164.698
2016-04-11,164.557
2016-04-12,162.188
2016-04-13,164.532
2016-04-14,164.839
2016-04-15,164.964
2016-04-18,164.458
2016-04-19,164.076
2016-04-20,162.009
2016-04-21,162.626
2016-04-22,161.096
2016-04-25,161.454
2016-04-26,162.339
2016-04-27,161.964
2016-04-28,160.565
2016-04-29,159.098
2016-05-03,157.776
2016-05-04,156.13
2016-05-05,156.402
2016-05-06,155.772
2016-05-09,154.449
2016-05-10,155.65
2016-05-11,154.924
2016-05-12,153.186
2016-05-13,149.945
2016-05-16,154.07
2016-05-17,156.134
2016-05-18,156.039
2016-05-19,155.394
2016-05-20,156.113
2016-05-23,160.271
2016-05-24,159.978
2016-05-25,161.301
2016-05-26,160.984
2016-05-27,162.824
2016-05-30,164.151
2016-05-31,164.718
2016-06-01,165.613
2016-06-02,163.794
2016-06-03,164.053
2016-06-06,164.25
2016-06-07,164.929
2016-06-08,164.995
2016-06-13,162.068
2016-06-14,162.976
2016-06-15,163.394
2016-06-16,161.771
2016-06-17,162.889
2016-06-20,164.13
2016-06-21,164.961
2016-06-22,165.343
2016-06-23,164.831
2016-06-24,160.674
2016-06-27,162.309
2016-06-28,163.665
2016-06-29,164.848
2016-06-30,166.034
2016-07-01,166.248
2016-07-04,167.449
2016-07-05,167.314
2016-07-06,165.159
2016-07-07,165.481
2016-07-11,166.43
2016-07-12,166.614
2016-07-13,167.477
2016-07-14,167.865
2016-07-15,168.824
2016-07-18,169.729
2016-07-19,169.753
2016-07-20,169.039
2016-07-21,170.211
2016-07-22,169.811
2016-07-25,168.656
2016-07-26,169.494
2016-07-27,169.179
2016-07-28,168.655
2016-07-29,168.204
2016-08-01,169.241
2016-08-02,169.175
2016-08-03,168.841
2016-08-04,168.768
2016-08-05,169.271
2016-08-08,169.672
2016-08-09,168.324
2016-08-10,168.154
2016-08-11,167.215
2016-08-12,167.183
2016-08-15,168.202
2016-08-16,168.396
2016-08-17,167.908
2016-08-18,168.584
2016-08-19,167.44
2016-08-22,166.294
2016-08-23,166.949
2016-08-24,166.698
2016-08-25,167.88
2016-08-26,167.978
2016-08-29,167.86
2016-08-30,168.439
2016-08-31,168.143
2016-09-01,167.396
2016-09-02,165.104
2016-09-05,166.738
2016-09-06,167.96
2016-09-07,168.553
2016-09-08,168.805
2016-09-09,168.276
2016-09-12,165.011
2016-09-13,164.232
2016-09-14,164.165
2016-09-19,166.857
2016-09-20,167.067
2016-09-21,168.204
2016-09-22,168.099
2016-09-23,168.883
2016-09-26,166.638
2016-09-29,167.612
2016-09-30,166.829
2016-10-03,167.403
2016-10-04,168.057
2016-10-05,167.679
2016-10-06,167.931
2016-10-07,166.919
2016-10-11,164.527
2016-10-12,164.229
2016-10-13,163.927
2016-10-14,162.107
2016-10-17,163.293
2016-10-18,163.855
2016-10-19,164.558
2016-10-20,165.053
2016-10-21,165.507
2016-10-24,166.133
2016-10-25,166.319
2016-10-26,166.195
2016-10-27,165.752
2016-10-28,164.999
2016-10-31,164.856
2016-11-01,164.654
2016-11-02,161.868
2016-11-03,160.469
2016-11-04,160.506
2016-11-07,161.874
2016-11-08,161.988
2016-11-09,156.721
2016-11-10,161.44
2016-11-11,158.695
2016-11-14,159.056
2016-11-15,159.364
2016-11-16,160.052
2016-11-17,160.281
2016-11-18,161.792
2016-11-21,162.857
2016-11-22,163.816
2016-11-23,164.084
2016-11-24,163.952
2016-11-25,164.12
2016-11-28,165.146
2016-11-29,165.599
2016-11-30,165.577
2016-12-01,166.211
2016-12-02,165.372
2016-12-05,164.94
2016-12-06,165.651
