futures_id,date,institutional_investors,long_deal_volume,long_deal_amount,short_deal_volume,short_deal_amount,long_open_interest_balance_volume,long_open_interest_balance_amount,short_open_interest_balance_volume,short_open_interest_balance_amount
TX,2018-06-13,外資,44501,99040954,45143,100504597,73295,162999521,23726,52612599
TX,2018-06-13,投信,49,109314,36,79946,1522,3392842,26640,59385888
TX,2018-06-13,自營商,17674,39305968,16649,36998259,7541,16342462,12508,27424783
MTX,2018-06-14,外資,31789,17585853,35658,19735414,210,114490,15711,8621238
MTX,2018-06-14,投信,0,0,0,0,46,25266,0,0
MTX,2018-06-14,自營商,8752,4820636,14525,7950432,23059,12472523,11424,6089334
TX,2018-06-14,外資,56504,124695478,62462,138084905,71217,155849438,27606,60335160
TX,2018-06-14,投信,3216,7100255,3785,8184828,1609,3527360,27296,59792705
TX,2018-06-14,自營商,19396,42787908,19736,43443279,6653,14204198,11913,25683033
MTX,2018-06-15,外資,40581,22297351,39265,21584098,1120,611497,15293,8446225
MTX,2018-06-15,投信,14,7714,14,7738,34,18767,0,0
MTX,2018-06-15,自營商,8922,4865576,8203,4481352,23088,12552312,11494,6163134
TX,2018-06-15,外資,78011,170780893,76662,168487110,76582,167885980,31625,69483165
TX,2018-06-15,投信,13207,29053940,13199,28440242,1668,3658251,27315,59577736
TX,2018-06-15,自營商,17179,37682522,17723,38852295,7525,16183597,13139,28489804
MTX,2018-06-19,外資,40673,22176656,44541,24279852,446,237651,18327,9938529
MTX,2018-06-19,投信,44,23495,32,17454,46,24444,0,0
