date,market,MarginPreviousDayBalance,MarginBuy,MarginSell,MarginCashRedemption,MarginCurrentDayBalance,MarginNextDayQuota,SecuritiesFirmLoanPreviousDayBalance,SecuritiesFirmLoanBuy,SecuritiesFirmLoanSell,SecuritiesFirmLoanCashRedemption,SecuritiesFirmLoanReplacement,SecuritiesFirmLoanCurrentDayBalance,SecuritiesFirmLoanNextDayQuota,UnrestrictedLoanPreviousDayBalance,UnrestrictedLoanBuy,UnrestrictedLoanSell,UnrestrictedLoanCashRedemption,UnrestrictedLoanReplacement,UnrestrictedLoanCurrentDayBalance,UnrestrictedLoanNextDayQuota,SecuritiesFinanceSecuredLoanPreviousDayBalance,SecuritiesFinanceSecuredLoanBuy,SecuritiesFinanceSecuredLoanSell,SecuritiesFinanceSecuredLoanCashRedemption,SecuritiesFinanceSecuredLoanReplacement,SecuritiesFinanceSecuredLoanCurrentDayBalance,SecuritiesFinanceSecuredLoanNextDayQuota,SettlementMarginPreviousDayBalance,SettlementMarginBuy,SettlementMarginSell,SettlementMarginCashRedemption,SettlementMarginReplacement,SettlementMarginCurrentDayBalance,SettlementMarginNextDayQuota
2022-09-19,集中市場,0,0,0,0,0,17630,0,0,0,0,0,0,3526,13,0,0,0,0,13,7052,0,0,0,0,0,0,0,0,0,0,0,0,0,3526
2022-09-20,集中市場,0,4,0,0,4,17630,0,0,0,0,0,0,3526,13,0,0,0,0,13,7052,0,0,0,0,0,0,0,0,0,0,0,0,0,3526
2022-09-21,集中市場,4,0,0,0,4,17630,0,0,0,0,0,0,3526,13,0,0,0,0,13,7052,0,0,0,0,0,0,0,0,0,0,0,0,0,3526
2022-09-22,集中市場,4,0,0,0,4,17630,0,0,0,0,0,0,3526,13,0,0,0,0,13,7052,0,0,0,0,0,0,0,0,0,0,0,0,0,3526
2022-09-23,集中市場,4,0,2,0,2,17630,0,0,0,0,0,0,3526,13,0,0,0,0,13,7052,0,0,0,0,0,0,0,0,0,0,0,0,0,3526
2022-09-26,集中市場,2,5,0,0,7,17630,0,0,0,0,0,0,3526,13,0,0,0,0,13,7052,0,0,0,0,0,0,0,0,0,0,0,0,0,3526
2022-09-27,集中市場,7,5,0,0,12,17630,0,0,0,0,0,0,3526,13,0,0,0,0,13,7052,0,0,0,0,0,0,0,0,0,0,0,0,0,3526
2022-09-28,集中市場,12,3,6,0,9,17630,0,0,0,0,0,0,3526,13,0,0,0,0,13,7052,0,0,0,0,0,0,0,0,0,0,0,0,0,3526
2022-09-29,集中市場,9,0,2,0,7,17630,0,0,0,0,0,0,3526,13,1,0,0,0,14,7052,0,0,0,0,0,0,0,0,0,0,0,0,0,3526
2022-09-30,集中市場,7,0,2,0,5,17630,0,0,0,0,0,0,3526,14,10,0,10,0,14,7052,0,0,0,0,0,0,0,0,0,0,0,0,0,3526
2022-10-03,集中市場,5,0,1,0,4,17630,0,0,0,0,0,0,3526,14,0,0,0,0,14,7052,0,0,0,0,0,0,0,0,0,0,0,0,0,3526
2022-10-04,集中市場,4,0,4,0,0,17630,0,0,0,0,0,0,3526,14,0,0,0,0,14,7052,0,0,0,0,0,0,0,0,0,0,0,0,0,3526
2022-10-05,集中市場,0,3,0,0,3,17630,0,0,0,0,0,0,3526,14,0,0,0,0,14,7052,0,0,0,0,0,0,0,0,0,0,0,0,0,3526
