date,market,MarginPreviousDayBalance,MarginBuy,MarginSell,MarginCashRedemption,MarginCurrentDayBalance,MarginNextDayQuota,SecuritiesFirmLoanPreviousDayBalance,SecuritiesFirmLoanBuy,SecuritiesFirmLoanSell,SecuritiesFirmLoanCashRedemption,SecuritiesFirmLoanReplacement,SecuritiesFirmLoanCurrentDayBalance,SecuritiesFirmLoanNextDayQuota,UnrestrictedLoanPreviousDayBalance,UnrestrictedLoanBuy,UnrestrictedLoanSell,UnrestrictedLoanCashRedemption,UnrestrictedLoanReplacement,UnrestrictedLoanCurrentDayBalance,UnrestrictedLoanNextDayQuota,SecuritiesFinanceSecuredLoanPreviousDayBalance,SecuritiesFinanceSecuredLoanBuy,SecuritiesFinanceSecuredLoanSell,SecuritiesFinanceSecuredLoanCashRedemption,SecuritiesFinanceSecuredLoanReplacement,SecuritiesFinanceSecuredLoanCurrentDayBalance,SecuritiesFinanceSecuredLoanNextDayQuota,SettlementMarginPreviousDayBalance,SettlementMarginBuy,SettlementMarginSell,SettlementMarginCashRedemption,SettlementMarginReplacement,SettlementMarginCurrentDayBalance,SettlementMarginNextDayQuota
2015-05-29,櫃檯買賣中心,396,0,0,0,396,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-06-01,櫃檯買賣中心,396,0,0,0,396,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-06-02,櫃檯買賣中心,396,5,8,0,393,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-06-03,櫃檯買賣中心,393,0,7,0,386,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-06-04,櫃檯買賣中心,386,0,1,0,385,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-06-05,櫃檯買賣中心,385,1,0,0,386,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-06-08,櫃檯買賣中心,386,1,2,0,385,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-06-09,櫃檯買賣中心,385,60,20,0,425,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-06-10,櫃檯買賣中心,425,1,3,0,423,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-06-11,櫃檯買賣中心,423,1,5,0,419,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-06-12,櫃檯買賣中心,419,3,2,0,420,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-06-15,櫃檯買賣中心,420,0,1,0,419,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-06-16,櫃檯買賣中心,419,0,3,0,416,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-06-17,櫃檯買賣中心,416,0,1,0,415,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-06-18,櫃檯買賣中心,415,0,0,0,415,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-06-22,櫃檯買賣中心,415,0,11,138,266,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-06-23,櫃檯買賣中心,266,0,1,0,265,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-06-24,櫃檯買賣中心,265,0,5,0,260,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-06-25,櫃檯買賣中心,260,0,3,0,257,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-06-26,櫃檯買賣中心,257,11,7,0,261,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-06-29,櫃檯買賣中心,261,0,3,0,258,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-06-30,櫃檯買賣中心,258,0,3,0,255,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-07-01,櫃檯買賣中心,255,0,0,0,255,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-07-02,櫃檯買賣中心,255,0,1,0,254,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-07-03,櫃檯買賣中心,254,0,1,0,253,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-07-06,櫃檯買賣中心,253,0,2,0,251,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-07-07,櫃檯買賣中心,251,10,0,0,261,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-07-08,櫃檯買賣中心,261,0,1,0,260,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-07-09,櫃檯買賣中心,260,0,11,0,249,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-07-13,櫃檯買賣中心,249,0,3,0,246,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-07-14,櫃檯買賣中心,246,0,0,0,246,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-07-15,櫃檯買賣中心,246,0,1,0,245,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-07-16,櫃檯買賣中心,245,1,0,0,246,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-07-17,櫃檯買賣中心,246,0,1,0,245,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-07-20,櫃檯買賣中心,245,0,2,0,243,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-07-21,櫃檯買賣中心,243,0,6,0,237,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
2015-07-22,櫃檯買賣中心,237,0,1,0,236,6306,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261
