date,broker_id,broker_name,buy_shares,sell_shares,net_shares,avg_buy_price,avg_sell_price
2024-03-07,102C,合庫自強,10000,0,10000,116.0,
2024-03-07,1260,宏遠,0,45000,-45000,,115.9444
2024-03-07,1440,美林,45000,35000,10000,115.9667,119.2
2024-03-07,1470,台灣摩根,27000,4000,23000,116.9815,116.75
2024-03-07,1560,港商野村,10000,19000,-9000,116.9,119.1579
2024-03-07,1650,瑞銀,29000,49000,-20000,117.5,119.1429
2024-03-07,538P,第一路竹,15000,0,15000,117.0,
2024-03-07,5850,統一,14000,1000,13000,117.2857,114.0
2024-03-07,5854,統一城中,6000,0,6000,119.0,
2024-03-07,585H,統一桃園,0,28000,-28000,,116.6429
2024-03-07,585c,統一仁愛,0,1000,-1000,,115.0
2024-03-07,5925,元富台中,0,1000,-1000,,117.0
2024-03-07,592a,元富松德,242,6328,-6086,115.0,117.592
2024-03-07,616A,中信中壢,9000,0,9000,118.1667,
2024-03-07,6380,光和,0,15000,-15000,,116.0
2024-03-07,6463,大昌新竹,10000,0,10000,116.0,
2024-03-07,700P,兆豐南京,0,10000,-10000,,118.7
2024-03-07,700a,兆豐忠孝,3100,150,2950,116.4355,116.3333
2024-03-07,779H,國票嘉義,20000,10000,10000,116.5,118.05
2024-03-07,779X,國票中和,3000,0,3000,116.1667,
2024-03-07,8150,台新,5050,3000,2050,117.3911,116.0
2024-03-07,8159,台新台南,5000,16000,-11000,118.7,116.5
2024-03-07,8440,摩根大通,2000,26000,-24000,115.5,118.0577
2024-03-07,8450,康和,9000,70,8930,119.7222,116.5
2024-03-07,845B,康和永和,0,2000,-2000,,116.5
2024-03-07,8560,新光,3000,2000,1000,118.8333,115.5
2024-03-07,8561,新光台中,13000,1000,12000,117.1923,116.0
2024-03-07,8888,國泰敦南,5080,20200,-15120,116.2077,116.4752
2024-03-07,9100,群益,2000,1000,1000,119.25,115.0
2024-03-07,9131,群益民權,1000,0,1000,116.5,
2024-03-07,9205,凱基三重,1000,1000,0,117.0,116.5
