date,broker_id,broker_name,buy_shares,sell_shares,net_shares,avg_buy_price,avg_sell_price
2024-01-10,1041,臺銀鳳山,16000,3000,13000,117.4062,117.3333
2024-01-10,1260,宏遠,10000,30000,-20000,118.5,116.8333
2024-01-10,1360,港麥格理,31000,0,31000,117.5,
2024-01-10,1440,美林,37000,50000,-13000,117.4595,118.53
2024-01-10,1480,美商高盛,238000,27000,211000,118.0567,117.0926
2024-01-10,1560,港商野村,0,13000,-13000,,118.5
2024-01-10,1650,瑞銀,169000,197000,-28000,118.003,117.4061
2024-01-10,5322,高橋中壢,20000,0,20000,117.0,
2024-01-10,538Y,第一中壢,30000,2000,28000,116.85,117.5
2024-01-10,5850,統一,28000,37001,-9001,118.1429,117.2703
2024-01-10,5854,統一城中,3000,5000,-2000,116.6667,117.5
2024-01-10,5857,統一新竹,1000,0,1000,117.5,
2024-01-10,5859,統一屏東,3000,21000,-18000,116.5,117.4762
2024-01-10,585c,統一仁愛,2000,8000,-6000,118.25,117.5
2024-01-10,5920,元富,3000,10000,-7000,117.0,117.5
2024-01-10,5925,元富台中,1,1000,-999,118.0,117.5
2024-01-10,592a,元富松德,2411,23000,-20589,117.5483,116.6304
2024-01-10,6160,中國信託,6000,22000,-16000,118.0,117.6591
2024-01-10,6480,福邦,0,10000,-10000,,117.0
2024-01-10,700X,兆豐永和,0,1000,-1000,,117.5
2024-01-10,779V,國票天祥,0,101000,-101000,,116.5198
2024-01-10,779c,國票敦北,0,3000,-3000,,117.5
2024-01-10,8150,台新,18411,23000,-4589,117.8015,117.8261
2024-01-10,815H,台新屏東,2000,0,2000,117.0,
2024-01-10,8440,摩根大通,12000,78000,-66000,117.875,117.4423
2024-01-10,8450,康和,7000,5000,2000,117.9286,117.6
2024-01-10,845B,康和永和,0,3000,-3000,,117.0
2024-01-10,845X,康和屏東,0,14000,-14000,,117.5
2024-01-10,8560,新光,47300,33007,14293,117.3658,118.0756
2024-01-10,8561,新光台中,5000,10006,-5006,117.5,116.8504
2024-01-10,8847,玉山台南,9000,24100,-15100,118.2778,117.4191
2024-01-10,8881,國泰高雄,15268,16216,-948,118.3673,117.5816
2024-01-10,8882,國泰台中,4166,6050,-1884,117.2913,118.3223
2024-01-10,8888,國泰敦南,50226,40629,9597,117.5796,117.5541
2024-01-10,9100,群益,12000,12000,0,117.5,116.5
2024-01-10,9138,群益中港,6000,1000,5000,117.6667,117.5
2024-01-10,913g,群益三重,50,1000,-950,117.5,117.5
2024-01-10,9186,群益新竹,2000,2000,0,117.0,118.0
2024-01-10,918M,群益嘉義,0,100,-100,,119.0
2024-01-10,918X,群益台北,6000,7000,-1000,116.5,116.9286
2024-01-10,918i,群益竹南,3000,550,2450,119.0,117.5
2024-01-10,9207,凱基永和,1000,1000,0,117.0,118.0
2024-01-10,920A,凱基板橋,5000,5000,0,117.2,117.7
2024-01-10,920D,凱基市府,4000,3000,1000,117.625,118.3333
2024-01-10,9216,凱基信義,5000,0,5000,117.5,
2024-01-10,9227,凱基城中,2000,4100,-2100,117.75,117.8659
2024-01-10,9229,凱基中山,1000,3000,-2000,118.0,117.5
2024-01-10,9239,凱基市政,5000,19000,-14000,118.0,117.2368
2024-01-10,9257,凱基林口,1000,0,1000,117.5,
2024-01-10,9268,凱基台北,183000,99000,84000,118.0164,117.8283
2024-01-10,9334,華南世貿,6000,6000,0,117.4167,118.0
2024-01-10,9600,富邦,19000,0,19000,118.9211,
2024-01-10,9604,富邦陽明,2000,2100,-100,117.25,118.2381
2024-01-10,9623,富邦台北,1000,1000,0,118.0,117.5
2024-01-10,962G,富邦斗六,1000,16000,-15000,117.5,117.6562
2024-01-10,9647,富邦新竹,2100,4000,-1900,116.3095,117.375
2024-01-10,9658,富邦建國,3102,4100,-998,117.1934,117.7073
2024-01-10,9665,富邦桃園,1000,16896,-15896,117.0,116.9555
2024-01-10,9666,富邦南屯,2000,0,2000,117.5,
