date,broker_id,broker_name,buy_shares,sell_shares,net_shares,avg_buy_price,avg_sell_price
2024-05-22,1440,美林,3000,13000,-10000,56.0667,55.8
2024-05-22,1480,美商高盛,17000,11000,6000,55.9,55.6455
2024-05-22,5321,高橋龍潭,5000,0,5000,55.68,
2024-05-22,538B,第一新竹,0,15000,-15000,,56.12
2024-05-22,538W,第一華江,5000,0,5000,55.78,
2024-05-22,592a,元富松德,18,136,-118,55.6,55.8382
2024-05-22,592y,元富花蓮,0,5000,-5000,,55.8
2024-05-22,6452,永全八德,0,5000,-5000,,55.8
2024-05-22,700H,兆豐東門,10000,0,10000,55.8,
2024-05-22,779c,國票敦北,0,15000,-15000,,55.8
2024-05-22,779z,國票博愛,10000,0,10000,55.85,
2024-05-22,815S,台新中壢,0,6000,-6000,,55.8
2024-05-22,8440,摩根大通,18000,0,18000,55.8444,
2024-05-22,845D,康和板橋,0,35000,-35000,,55.8
2024-05-22,8560,新光,3000,5011,-2011,55.5667,55.7599
2024-05-22,8561,新光台中,0,1000,-1000,,55.6
2024-05-22,8842,玉山新莊,5000,0,5000,55.84,
2024-05-22,8881,國泰高雄,1000,0,1000,55.8,
2024-05-22,8882,國泰台中,11000,2000,9000,55.7273,55.8
2024-05-22,8888,國泰敦南,8186,1055,7131,55.9181,55.8
2024-05-22,9100,群益,1000,0,1000,55.8,
2024-05-22,9257,凱基林口,0,3000,-3000,,56.3
2024-05-22,9268,凱基台北,16000,19000,-3000,55.8812,55.8474
2024-05-22,9359,華南中正,2040,11000,-8960,56.0451,55.7091
2024-05-22,9366,華南豐原,8000,0,8000,55.925,
2024-05-22,9623,富邦台北,99,0,99,55.8,
2024-05-22,962D,富邦新莊,0,1000,-1000,,55.7
2024-05-22,9647,富邦新竹,1000,1000,0,56.0,55.6
2024-05-22,9657,富邦苗栗,10000,0,10000,55.8,
2024-05-22,9659,富邦高雄,0,31000,-31000,,55.9194
2024-05-22,9672,富邦員林,9000,0,9000,55.8333,
2024-05-22,9676,富邦仁愛,2015,1000,1015,55.8978,55.9
2024-05-22,9686,富邦宜蘭,12000,0,12000,55.7,
2024-05-22,9692,富邦嘉義,1000,1000,0,56.0,55.9
2024-05-22,9800,元大,6000,6000,0,56.0167,55.85
2024-05-22,980K,元大竹科,0,1000,-1000,,55.9
2024-05-22,981G,元大彰化,9000,0,9000,55.8,
2024-05-22,981j,元大士林,2000,0,2000,55.9,
2024-05-22,9833,元大敦化,1000,0,1000,56.0,
2024-05-22,983B,元大林森,2000,2000,0,55.75,56.1
2024-05-22,9859,元大經國,1000,1000,0,55.9,56.3
2024-05-22,9875,元大永寧,0,1000,-1000,,56.0
2024-05-22,988B,元大桃園,0,1000,-1000,,55.7
2024-05-22,9A89,永豐敦北,5000,0,5000,55.82,
2024-05-22,9A9g,永豐內湖,0,5000,-5000,,56.0
2024-05-22,9A9h,永豐台南,1000,0,1000,55.9,
2024-05-22,9A9x,永豐桃園,1000,0,1000,56.0,
2024-05-23,103F,土銀南港,18000,0,18000,56.0833,
2024-05-23,1260,宏遠,22000,9000,13000,55.6545,55.7
2024-05-23,1470,台灣摩根,20000,0,20000,55.785,
2024-05-23,1480,美商高盛,23000,1000,22000,55.6478,55.6
2024-05-23,1590,花旗環球,14000,2000,12000,55.6357,55.4
2024-05-23,5320,高橋,0,10000,-10000,,56.02
2024-05-23,5386,第一彰化,11000,0,11000,55.1364,
2024-05-23,592D,元富大昌,50,0,50,56.1,
2024-05-23,592a,元富松德,0,2366,-2366,,55.4508
2024-05-23,6160,中國信託,10000,0,10000,55.74,
2024-05-23,779P,國票九鼎,0,10000,-10000,,55.8
2024-05-23,8150,台新,1000,1000,0,56.2,55.4
2024-05-23,815H,台新屏東,55,0,55,55.8,
2024-05-23,8560,新光,1023,3000,-1977,55.4987,56.0333
2024-05-23,8842,玉山新莊,0,5000,-5000,,55.6
2024-05-23,8881,國泰高雄,0,15075,-15075,,55.5934
2024-05-23,8882,國泰台中,3000,0,3000,55.3,
2024-05-23,8888,國泰敦南,7109,6050,1059,55.7421,55.881
2024-05-23,9186,群益新竹,2000,0,2000,55.75,
2024-05-23,918i,群益竹南,1000,0,1000,55.2,
2024-05-23,920D,凱基市府,0,2000,-2000,,56.2
2024-05-23,920F,凱基站前,0,5000,-5000,,56.04
2024-05-23,9268,凱基台北,32000,74000,-42000,55.8,55.5541
2024-05-23,9322,華南基隆,0,5000,-5000,,55.8
2024-05-23,9347,華南敦南,1000,8000,-7000,56.1,55.325
2024-05-23,9604,富邦陽明,1050,1000,50,55.981,55.1
2024-05-23,9623,富邦台北,0,1000,-1000,,55.5
2024-05-23,9657,富邦苗栗,0,20000,-20000,,55.57
2024-05-23,9658,富邦建國,6000,9000,-3000,55.4,55.3556
2024-05-23,9663,富邦敦南,0,6000,-6000,,55.7167
2024-05-23,9666,富邦南屯,0,1000,-1000,,55.1
2024-05-23,9676,富邦仁愛,24027,3000,21027,55.5711,55.7
2024-05-23,9686,富邦宜蘭,25000,0,25000,55.66,
2024-05-23,9692,富邦嘉義,1000,0,1000,55.4,
2024-05-23,9800,元大,6000,1000,5000,55.95,55.6
2024-05-23,980K,元大竹科,0,2000,-2000,,55.55
2024-05-23,980d,元大沙鹿,0,5000,-5000,,56.16
2024-05-23,9813,元大八德,0,5000,-5000,,56.1
2024-05-23,981j,元大士林,0,2000,-2000,,55.6
2024-05-23,981z,元大大統,0,10000,-10000,,55.4
2024-05-23,983B,元大林森,2100,1000,1100,55.5952,56.2
