date,broker_id,broker_name,buy_shares,sell_shares,net_shares,avg_buy_price,avg_sell_price
2025-09-16,1440,美林,16000,261000,-245000,21.6344,21.7138
2025-09-16,1470,台灣摩根,11000,168000,-157000,21.7227,21.8896
2025-09-16,1480,美商高盛,80000,269000,-189000,21.87,21.79
2025-09-16,1560,港商野村,0,220000,-220000,,21.6684
2025-09-16,1650,瑞銀,12000,148000,-136000,21.8917,21.853
2025-09-16,538C,第一光復,14000,64000,-50000,21.9786,22.1922
2025-09-16,5850,統一,59941,1000,58941,22.1827,22.15
2025-09-16,5854,統一城中,1000,0,1000,22.2,
2025-09-16,5857,統一新竹,5000,4000,1000,21.68,21.65
2025-09-16,585A,統一基隆,3000,47000,-44000,21.6167,22.1362
2025-09-16,585c,統一仁愛,1000,0,1000,22.05,
2025-09-16,5920,元富,0,9000,-9000,,22.1778
2025-09-16,5925,元富台中,7000,4000,3000,21.8357,22.2
2025-09-16,592D,元富大昌,5000,80,4920,22.05,21.925
2025-09-16,592H,元富信義,1000,2000,-1000,21.8,21.875
2025-09-16,592a,元富松德,3007,103,2904,21.7379,21.7117
2025-09-16,592r,元富城東,68000,7000,61000,22.1044,21.9143
2025-09-16,592v,元富桃園,2000,65085,-63085,22.1,22.1078
2025-09-16,6012,?亞網路,80300,0,80300,21.9308,
2025-09-16,700N,兆豐埔墘,0,4000,-4000,,21.7
2025-09-16,700a,兆豐忠孝,1030,24000,-22970,22.1825,22.0833
2025-09-16,779X,國票中和,0,2000,-2000,,22.2
2025-09-16,779Z,國票安和,20,0,20,22.2,
2025-09-16,779c,國票敦北,5495,150,5345,22.0662,22.2
2025-09-16,779u,國票長城,0,4000,-4000,,22.2
2025-09-16,8150,台新,19000,6227,12773,21.25,22.0055
2025-09-16,815H,台新屏東,2000,9000,-7000,21.55,21.9278
2025-09-16,815Y,台新新營,54000,2000,52000,22.1685,22.2
2025-09-16,8440,摩根大通,31000,202000,-171000,21.8145,21.7463
2025-09-16,8560,新光,107200,69050,38150,21.85,21.9929
2025-09-16,8561,新光台中,72000,40000,32000,22.0333,22.0862
2025-09-16,8881,國泰高雄,17116,3402,13714,22.071,21.9618
2025-09-16,8882,國泰台中,39170,20300,18870,21.8826,21.8759
2025-09-16,8888,國泰敦南,79393,97969,-18576,21.7729,22.0982
2025-09-16,9100,群益,6000,39000,-33000,21.9583,21.8872
2025-09-16,913g,群益三重,1000,0,1000,22.2,
2025-09-16,9186,群益新竹,1000,1000,0,22.1,22.15
2025-09-16,918M,群益嘉義,3000,17000,-14000,21.6167,22.1412
2025-09-16,918X,群益台北,0,1000,-1000,,22.2
2025-09-16,918e,群益大安,6000,4000,2000,21.9917,21.9
2025-09-16,918i,群益竹南,0,6000,-6000,,21.55
2025-09-16,9205,凱基三重,22000,6000,16000,21.8773,21.7667
2025-09-16,9206,凱基高雄,116010,50000,66010,22.0961,21.822
2025-09-16,9207,凱基永和,250,0,250,22.0568,
2025-09-16,920A,凱基板橋,2000,2000,0,21.7,21.75
2025-09-16,920D,凱基市府,3000,1000,2000,22.0833,22.2
2025-09-16,9217,凱基松山,14000,0,14000,22.1893,
2025-09-16,9227,凱基城中,5000,9000,-4000,21.8,22.1167
2025-09-16,9229,凱基中山,0,520,-520,,22.1351
