date,broker_id,broker_name,buy_shares,sell_shares,net_shares,avg_buy_price,avg_sell_price
2026-04-28,1022,合庫台南,2000,0,2000,82.4,
2026-04-28,102A,合庫新竹,2000,0,2000,82.05,
2026-04-28,1042,臺銀臺南,2000,2000,0,83.0,81.35
2026-04-28,104A,臺銀臺中,0,2000,-2000,,81.5
2026-04-28,104C,臺銀高雄,4000,2000,2000,81.9,84.4
2026-04-28,1262,宏遠桃園,2,0,2,81.7,
2026-04-28,1440,美林證券,0,2000,-2000,,81.9
2026-04-28,1470,摩根士丹利,4000,7000,-3000,83.4,82.3857
2026-04-28,1480,美商高盛亞,6000,5000,1000,82.0667,82.36
2026-04-28,1560,港商野村,10000,7000,3000,83.96,81.6714
2026-04-28,1650,星洲瑞銀,6000,6000,0,82.9667,82.1333
2026-04-28,5383,第一金高雄,20000,0,20000,82.33,
2026-04-28,5855,統一臺南,0,1000,-1000,,83.0
2026-04-28,5857,統一新竹,0,10000,-10000,,84.0
2026-04-28,585A,統一基隆,1000,1000,0,81.5,81.8
2026-04-28,585D,統一新台中,4000,0,4000,81.6,
2026-04-28,585F,統一彰化,1000,0,1000,81.5,
2026-04-28,585M,統一士林,1000,0,1000,81.7,
2026-04-28,585c,統一仁愛,0,1000,-1000,,81.8
2026-04-28,6012,奔亞網路,0,1000,-1000,,83.6
2026-04-28,6162,中信託忠孝,0,3000,-3000,,83.1333
2026-04-28,6460,大昌,2000,0,2000,81.9,
2026-04-28,700I,兆豐北高雄,0,4000,-4000,,81.75
2026-04-28,700a,兆豐忠孝,1000,1,999,81.5,83.1
2026-04-28,700g,兆豐南門,0,1000,-1000,,81.7
2026-04-28,700k,兆豐員林,0,1000,-1000,,83.3
2026-04-28,7790,國票,770,559,211,81.7148,82.0714
2026-04-28,779v,國票台中,0,100,-100,,82.6
2026-04-28,8440,摩根大通,5000,3000,2000,83.28,82.1667
2026-04-28,8564,新光台南,1000,1000,0,83.9,84.0
2026-04-28,8840,玉山證券,2000,0,2000,81.7,
2026-04-28,884B,玉山台中,0,2000,-2000,,82.9
2026-04-28,884M,玉山數位,0,1100,-1100,,81.5455
2026-04-28,8883,國泰松江,0,25000,-25000,,82.684
2026-04-28,8886,國泰新莊,0,16000,-16000,,83.1875
2026-04-28,8888,國泰敦南,0,2000,-2000,,81.65
2026-04-28,888K,國泰板橋,1000,0,1000,81.3,
2026-04-28,9100,群益,1000,1000,0,81.7,81.8
2026-04-28,9105,群益高盛,5000,0,5000,81.74,
2026-04-28,9131,群益民權,3000,0,3000,82.5,
2026-04-28,9183,群益高雄,3000,0,3000,82.4667,
2026-04-28,918W,群益忠孝,1000,1000,0,81.7,83.1
2026-04-28,918s,群益丹鳳,3000,0,3000,83.6667,
2026-04-28,920M,凱基宜蘭,0,1000,-1000,,83.5
2026-04-28,920N,凱基湖口,16130,0,16130,81.7577,
2026-04-28,9227,凱基城中,0,1500,-1500,,81.7667
2026-04-28,9254,凱基科園,1000,0,1000,81.9,
2026-04-28,9268,凱基台北,13000,51000,-38000,83.7692,82.0098
2026-04-28,9275,凱基三多,10000,0,10000,82.0,
2026-04-28,9288,凱基埔墘,0,2000,-2000,,81.5
2026-04-28,9296,凱基頭份,1000,0,1000,81.4,
