date,broker_id,broker_name,buy_shares,sell_shares,net_shares,avg_buy_price,avg_sell_price
2026-04-27,1030,土銀,0,1000,-1000,,96.1
2026-04-27,1035,土銀新竹,3000,0,3000,96.6667,
2026-04-27,1039,土銀士林,282,0,282,95.5,
2026-04-27,1042,臺銀臺南,1000,5010,-4010,96.8,95.6034
2026-04-27,1043,臺銀民權,0,5000,-5000,,95.14
2026-04-27,104C,臺銀高雄,52,2100,-2048,95.4077,95.8333
2026-04-27,104D,臺銀金山,2320,2073,247,95.8276,96.4201
2026-04-27,111A,台企銀民雄,0,5000,-5000,,95.6
2026-04-27,126D,宏遠台南,1000,0,1000,95.6,
2026-04-27,126L,宏遠台中,1000,0,1000,96.0,
2026-04-27,1440,美林證券,18000,40000,-22000,97.0889,95.6725
2026-04-27,1470,摩根士丹利,48000,32000,16000,96.1542,96.1094
2026-04-27,1480,美商高盛亞,80000,69000,11000,96.1988,96.713
2026-04-27,1560,港商野村,4000,4000,0,97.0,96.25
2026-04-27,1590,花旗環球,4000,0,4000,96.15,
2026-04-27,1650,星洲瑞銀,17000,17000,0,95.7,96.8471
2026-04-27,2180,亞東,2000,2000,0,95.6,97.2
2026-04-27,2181,亞東板橋,0,20,-20,,96.0
2026-04-27,2184,亞東新竹,7000,0,7000,96.2571,
2026-04-27,2186,亞東高雄,0,1000,-1000,,95.7
2026-04-27,5050,大展,0,1000,-1000,,95.8
2026-04-27,5260,美好,0,1000,-1000,,94.4
2026-04-27,5262,美好楊梅,0,1000,-1000,,96.3
2026-04-27,5264,美好高雄,0,1000,-1000,,95.3
2026-04-27,5267,美好基隆,150,0,150,96.7,
2026-04-27,526K,美好富順,0,1000,-1000,,96.1
2026-04-27,5320,高橋,0,2000,-2000,,96.5
2026-04-27,5321,高橋龍潭,0,1000,-1000,,96.7
2026-04-27,5322,高橋中壢,0,2000,-2000,,94.55
2026-04-27,5381,第一金員林,1000,2000,-1000,95.8,96.5
2026-04-27,5382,第一金台中,0,1000,-1000,,97.2
2026-04-27,5385,第一金桃園,4000,2000,2000,95.5,95.95
2026-04-27,5386,第一金彰化,0,1000,-1000,,97.9
2026-04-27,5387,第一金澎湖,0,2000,-2000,,95.5
2026-04-27,538B,第一金新竹,5,0,5,95.2,
2026-04-27,538D,第一金忠孝,0,9000,-9000,,95.7778
2026-04-27,538N,第一金豐原,0,2000,-2000,,94.6
2026-04-27,538P,第一金路竹,1000,0,1000,95.0,
2026-04-27,538W,第一金華江,0,5000,-5000,,96.2
2026-04-27,538Y,第一金中壢,10,0,10,97.2,
2026-04-27,5852,統一敦南,2000,0,2000,95.65,
2026-04-27,5856,統一臺中,8000,0,8000,97.85,
2026-04-27,5857,統一新竹,0,1000,-1000,,96.0
2026-04-27,5858,統一嘉義,1000,1210,-210,95.7,96.8529
2026-04-27,5859,統一屏東,0,1000,-1000,,96.0
2026-04-27,585A,統一基隆,0,3000,-3000,,94.5
