date,open,high,low,close,volume_shares,value_twd,transactions,limit_up,limit_down,foreign_net_shares,trust_net_shares,dealer_net_shares,margin_balance_shares,short_balance_shares,daytrade_ratio,source,fetched_at
2015-01-05,18.85,19.8,18.75,19.6,15830740,305648531,5020,,,-306000.0,0.0,393000.0,27342,2486,,finmind,2026-07-17T14:39:44.888924+08:00
2015-01-06,19.4,19.55,18.4,18.6,17254697,328076805,5162,,,830000.0,0.0,-115000.0,26575,2197,,finmind,2026-07-17T14:39:44.888924+08:00
2015-01-07,18.8,19.1,18.55,19.05,13196479,249272506,3682,,,66000.0,0.0,338000.0,28141,2394,,finmind,2026-07-17T14:39:44.888924+08:00
2015-01-08,19.5,19.6,18.8,18.8,11978387,229722796,3380,,,-231000.0,0.0,-110000.0,27147,2165,,finmind,2026-07-17T14:39:44.888924+08:00
2015-01-09,19.15,19.4,18.8,18.85,8096864,154442473,2510,,,-257000.0,0.0,414000.0,27333,2279,,finmind,2026-07-17T14:39:44.888924+08:00
2015-01-12,18.65,19.1,18.35,18.35,6466831,120659555,2207,,,-62000.0,0.0,-233000.0,27038,2125,,finmind,2026-07-17T14:39:44.888924+08:00
2015-01-13,18.35,18.55,17.95,18.35,9018188,164571670,2798,,,1655000.0,0.0,-10000.0,27129,2073,,finmind,2026-07-17T14:39:44.888924+08:00
2015-01-14,18.5,19.6,18.5,19.6,23564643,453650019,6455,,,-200000.0,0.0,2711000.0,29381,2651,,finmind,2026-07-17T14:39:44.888924+08:00
2015-01-15,19.7,19.75,19.0,19.05,12779707,246751749,4036,,,-570705.0,0.0,-2447000.0,29711,2334,,finmind,2026-07-17T14:39:44.888924+08:00
2015-01-16,19.0,19.25,18.25,18.3,11284202,210465528,3408,,,-419000.0,0.0,-420000.0,29719,2363,,finmind,2026-07-17T14:39:44.888924+08:00
2015-01-19,18.6,18.7,18.15,18.15,5121418,94085957,1626,,,119000.0,0.0,-344000.0,29037,2317,,finmind,2026-07-17T14:39:44.888924+08:00
2015-01-20,18.25,18.85,18.25,18.6,8470336,158174256,2217,,,283000.0,0.0,-600000.0,29338,2650,,finmind,2026-07-17T14:39:44.888924+08:00
2015-01-21,18.6,18.8,18.25,18.3,5909145,108806430,1764,,,-1109000.0,0.0,-216000.0,28592,2645,,finmind,2026-07-17T14:39:44.888924+08:00
2015-01-22,18.3,18.8,18.3,18.6,9206891,171119309,2406,,,-357000.0,0.0,-21000.0,29478,3758,,finmind,2026-07-17T14:39:44.888924+08:00
2015-01-23,18.65,19.9,18.65,19.65,32230824,629590315,7963,,,-244000.0,0.0,1234000.0,34670,4445,,finmind,2026-07-17T14:39:44.888924+08:00
2015-01-26,19.45,19.45,19.05,19.2,8633110,166078637,2461,,,-300000.0,0.0,-815000.0,33843,3850,,finmind,2026-07-17T14:39:44.888924+08:00
2015-01-27,19.55,20.0,19.35,19.35,12904655,253563295,3667,,,-770000.0,0.0,312000.0,34580,4101,,finmind,2026-07-17T14:39:44.888924+08:00
2015-01-28,19.1,19.55,19.1,19.35,5449225,105404975,1725,,,-240000.0,0.0,-258000.0,34736,3826,,finmind,2026-07-17T14:39:44.888924+08:00
2015-01-29,19.35,19.55,19.15,19.55,5173795,100146345,1663,,,-44000.0,0.0,-17000.0,35054,3588,,finmind,2026-07-17T14:39:44.888924+08:00
2015-01-30,19.6,19.9,19.3,19.3,9128716,178669585,2421,,,-836000.0,0.0,675000.0,34844,3544,,finmind,2026-07-17T14:39:44.888924+08:00
2015-02-02,19.35,19.6,18.65,18.7,12596583,240533123,3543,,,-567000.0,0.0,-924000.0,35224,3017,,finmind,2026-07-17T14:39:44.888924+08:00
2015-02-03,18.7,18.85,18.5,18.8,6053219,113286429,1773,,,189000.0,0.0,97000.0,34375,2835,,finmind,2026-07-17T14:39:44.888924+08:00
