date,open,high,low,close,volume_shares,value_twd,transactions,limit_up,limit_down,foreign_net_shares,trust_net_shares,dealer_net_shares,margin_balance_shares,short_balance_shares,daytrade_ratio,source,fetched_at
2025-07-15,66.08,66.5,63.9,66.5,1752,112408,5,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-07-16,64.16,66.4,63.7,66.4,275,17950,7,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-07-17,65.27,67.3,66.3,67.3,11408,759492,9,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-07-18,66.58,68.1,65.8,68.1,9912,665007,17,,,-500.0,0.0,0.0,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-07-21,67.09,68.1,68.1,68.1,1,68,1,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-07-22,68.1,0.0,0.0,0.0,0,0,0,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-07-23,68.1,67.9,65.1,67.9,6001,393367,4,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-07-24,65.55,68.1,65.1,68.1,9113,597470,10,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-07-25,65.56,67.0,64.9,65.7,10803,704313,13,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-07-28,65.2,65.9,65.9,65.9,202,13311,2,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-07-29,65.9,66.9,65.3,66.2,11520,756849,13,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-07-30,65.7,66.2,64.3,65.2,12508,811366,15,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-07-31,64.87,65.7,64.0,65.7,3208,207365,8,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-08-01,64.64,65.7,63.9,65.7,4252,275856,8,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-08-04,64.88,65.8,65.7,65.8,201,13225,2,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-08-05,65.8,66.1,64.0,65.9,57813,3773468,33,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-08-06,65.27,65.9,65.9,65.9,2100,138390,3,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-08-07,65.9,65.9,64.2,65.9,6303,407297,9,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-08-08,64.62,65.7,64.1,65.7,5542,356939,9,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-08-11,64.41,65.7,64.2,65.7,2202,141671,5,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-08-12,64.34,66.0,64.8,66.0,25486,1670553,21,,,-2000.0,0.0,0.0,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-08-13,65.55,66.0,64.7,66.0,29404,1909522,19,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-08-14,64.94,0.0,0.0,0.0,0,0,0,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-08-15,64.94,66.0,64.7,65.8,61050,3987195,19,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-08-18,65.31,65.2,63.7,64.7,40419,2616992,20,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-08-19,64.75,65.0,64.4,64.7,72000,4659900,29,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-08-20,64.72,64.5,63.7,64.0,29000,1857200,14,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-08-21,64.04,64.2,64.2,64.2,3000,192600,1,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-08-22,64.2,65.9,64.5,64.5,58000,3766900,22,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-08-25,64.95,68.3,65.1,67.5,62303,4102603,33,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
2025-08-26,65.85,68.3,65.7,68.3,46502,3101135,26,,,,,,,,,finmind,2026-07-15T18:40:40.225050+08:00
