date,open,high,low,close,volume_shares,value_twd,transactions,limit_up,limit_down,foreign_net_shares,trust_net_shares,dealer_net_shares,margin_balance_shares,short_balance_shares,daytrade_ratio,source,fetched_at
2015-01-05,58.2,58.8,58.1,58.7,184000,10738800,122,,,-2000.0,-60000.0,5000.0,2068000,11000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-01-06,58.2,58.2,57.6,58.0,130000,7518100,113,,,-2000.0,-35000.0,4000.0,2052000,11000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-01-07,58.0,58.4,58.0,58.4,109000,6339200,60,,,-2000.0,20000.0,-38000.0,2021000,16000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-01-08,58.9,58.9,58.3,58.5,97000,5676500,67,,,0.0,0.0,-16000.0,2028000,16000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-01-09,58.7,58.9,58.3,58.5,143000,8375800,82,,,1000.0,-50000.0,0.0,2033000,16000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-01-12,58.5,58.5,58.3,58.5,128000,7471900,67,,,15000.0,-50000.0,25000.0,2063000,3000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-01-13,58.5,58.6,57.8,57.9,193476,11277517,103,,,5000.0,-46000.0,25000.0,2120000,3000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-01-14,57.9,58.4,57.9,58.4,112097,6509654,63,,,1000.0,20000.0,-14000.0,2080000,2000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-01-15,58.5,58.5,57.9,58.1,126110,7329713,89,,,1000.0,0.0,0.0,2071000,2000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-01-16,59.9,61.5,59.5,59.9,1240223,74881780,726,,,-24000.0,-81000.0,90000.0,2326000,3000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-01-19,60.5,60.6,58.4,58.5,294000,17448300,202,,,-3000.0,-8000.0,-21000.0,2364000,2000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-01-20,59.0,59.7,58.2,59.1,362056,21308816,246,,,-7000.0,-20000.0,-19000.0,2396000,2000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-01-21,59.2,59.8,58.6,58.6,230000,13562100,136,,,-1000.0,0.0,-48000.0,2418000,2000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-01-22,59.0,59.1,58.4,58.6,181000,10633500,118,,,-1000.0,-80000.0,-21000.0,2425000,2000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-01-23,58.6,59.2,58.5,58.5,218219,12802633,146,,,0.0,-80000.0,0.0,2451000,2000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-01-26,58.5,59.5,58.0,58.8,222300,13056119,149,,,0.0,-30000.0,15000.0,2435000,2000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-01-27,58.8,58.9,58.2,58.4,199000,11651700,102,,,-3000.0,0.0,-31000.0,2404000,2000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-01-28,58.6,58.6,58.2,58.5,111000,6481500,86,,,0.0,0.0,-1000.0,2430000,2000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-01-29,58.3,58.3,58.1,58.3,76000,4425100,62,,,0.0,0.0,5000.0,2414000,2000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-01-30,58.8,58.8,57.8,57.9,171000,9946200,100,,,-3000.0,0.0,-1000.0,2359000,2000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-02-02,58.6,58.6,57.2,57.6,147050,8449415,113,,,-7000.0,0.0,-35000.0,2320000,2000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-02-03,57.6,57.9,57.4,57.4,60176,3467360,51,,,-4000.0,0.0,-3000.0,2305000,2000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-02-04,57.4,57.8,57.0,57.1,168000,9618400,108,,,-3000.0,0.0,-46000.0,2292000,2000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-02-05,57.0,57.3,55.6,57.0,345020,19472916,221,,,0.0,-55000.0,-155000.0,2307000,2000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-02-06,57.7,57.7,56.8,56.9,201000,11445900,98,,,1000.0,-80000.0,18000.0,2379000,3000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-02-09,57.0,57.6,56.6,57.0,105006,6002344,59,,,0.0,-40000.0,0.0,2429000,3000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-02-10,56.6,57.1,56.1,56.9,89199,5045643,60,,,-3000.0,-50000.0,10000.0,2427000,3000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-02-11,57.1,57.1,56.2,56.8,131000,7398100,87,,,-4000.0,0.0,9000.0,2414000,3000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-02-12,56.8,56.8,56.3,56.3,39099,2211443,35,,,-3000.0,0.0,-2000.0,2413000,3000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-02-13,56.3,56.4,56.0,56.3,132000,7415500,77,,,-1000.0,-30000.0,0.0,2393000,3000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-02-24,56.3,56.4,55.7,56.0,155000,8673300,103,,,14000.0,-80000.0,17000.0,2394000,3000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-02-25,56.0,56.0,54.1,55.2,744000,40781700,448,,,25000.0,-111000.0,23000.0,2583000,2000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-02-26,55.4,55.4,54.1,54.9,416900,22681320,231,,,3900.0,-164000.0,-20000.0,2740000,2000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-03-02,54.9,55.3,54.6,54.7,218010,11981264,161,,,-1000.0,-103000.0,0.0,2761000,1000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-03-03,54.7,55.0,53.6,53.9,338090,18306795,242,,,3000.0,-116000.0,0.0,2792000,1000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-03-04,53.8,54.0,53.4,54.0,322000,17291100,255,,,-12000.0,-130000.0,10000.0,2837000,1000,,finmind,2026-07-17T14:31:59.947277+08:00
2015-03-05,54.2,55.7,53.9,55.3,520000,28621200,375,,,-6000.0,-142000.0,0.0,2882000,3000,,finmind,2026-07-17T14:31:59.947277+08:00
