date,open,high,low,close,volume_shares,value_twd,transactions,limit_up,limit_down,foreign_net_shares,trust_net_shares,dealer_net_shares,margin_balance_shares,short_balance_shares,daytrade_ratio,source,fetched_at
2015-01-05,17.9,18.0,17.6,17.6,8000,142100,7,,,,,,1699000,1000,,finmind,2026-07-17T14:42:53.954576+08:00
2015-01-06,17.4,17.55,16.6,17.55,17203,294112,13,,,,,,1700000,1000,,finmind,2026-07-17T14:42:53.954576+08:00
2015-01-07,18.1,18.75,17.7,18.1,73000,1331700,42,,,,,,1751000,2000,,finmind,2026-07-17T14:42:53.954576+08:00
2015-01-08,18.5,18.5,16.85,17.0,168000,2929400,91,,,,,,1708000,1000,,finmind,2026-07-17T14:42:53.954576+08:00
2015-01-09,17.15,17.15,16.7,16.75,12237,205636,11,,,,,,1711000,1000,,finmind,2026-07-17T14:42:53.954576+08:00
2015-01-12,16.75,16.9,16.5,16.7,114000,1889450,26,,,,,,1618000,1000,,finmind,2026-07-17T14:42:53.954576+08:00
2015-01-13,16.85,17.05,16.7,17.05,16000,268600,8,,,,,,1603000,1000,,finmind,2026-07-17T14:42:53.954576+08:00
2015-01-14,17.0,17.05,16.7,17.05,10000,169700,7,,,,,,1604000,1000,,finmind,2026-07-17T14:42:53.954576+08:00
2015-01-15,16.8,16.8,16.75,16.8,25389,426368,7,,,,,,1602000,1000,,finmind,2026-07-17T14:42:53.954576+08:00
2015-01-16,0.0,0.0,0.0,0.0,0,0,0,,,,,,1602000,1000,,finmind,2026-07-17T14:42:53.954576+08:00
2015-01-19,16.9,17.1,16.9,16.9,20000,340600,8,,,,,,1600000,1000,,finmind,2026-07-17T14:42:53.954576+08:00
2015-01-20,16.75,16.85,16.5,16.5,4000,66750,4,,,,,,1603000,1000,,finmind,2026-07-17T14:42:53.954576+08:00
2015-01-21,16.5,16.7,16.5,16.7,5988,97914,5,,,,,,1602000,1000,,finmind,2026-07-17T14:42:53.954576+08:00
