date,open,high,low,close,volume_shares,value_twd,transactions,limit_up,limit_down,foreign_net_shares,trust_net_shares,dealer_net_shares,margin_balance_shares,short_balance_shares,daytrade_ratio,source,fetched_at
2025-07-15,108.0,114.0,107.5,113.0,12170451,1369272054,6386,,,687026,502000,260711,8834.0,77.0,,finmind,2026-07-15T18:33:18.905827+08:00
2025-07-16,113.0,113.5,111.5,112.0,9624759,1082510156,6040,,,458395,-1459051,43798,8430.0,82.0,,finmind,2026-07-15T18:33:18.905827+08:00
2025-07-17,111.5,114.0,110.5,114.0,7435796,838102298,4538,,,2828728,-946025,347017,8183.0,75.0,,finmind,2026-07-15T18:33:18.905827+08:00
2025-07-18,114.5,114.5,113.5,114.5,6220931,709526485,3961,,,1275866,-476101,131791,7735.0,79.0,,finmind,2026-07-15T18:33:18.905827+08:00
2025-07-21,114.5,115.5,113.5,114.5,5088273,583301844,3489,,,1488642,-1067000,146237,7501.0,80.0,,finmind,2026-07-15T18:33:18.905827+08:00
2025-07-22,114.5,116.0,112.0,112.5,6336348,719538780,4127,,,1688726,-1090076,48187,7362.0,77.0,,finmind,2026-07-15T18:33:18.905827+08:00
2025-07-23,113.5,116.0,112.5,115.5,7358787,843788022,4171,,,1242040,304000,212704,7114.0,86.0,,finmind,2026-07-15T18:33:18.905827+08:00
2025-07-24,116.0,118.0,115.0,117.5,6416878,747698703,3890,,,692956,790000,84486,6958.0,95.0,,finmind,2026-07-15T18:33:18.905827+08:00
2025-07-25,119.0,119.5,115.5,116.0,4683779,549480826,3345,,,253677,-5000,-68193,6987.0,95.0,,finmind,2026-07-15T18:33:18.905827+08:00
2025-07-28,117.0,117.5,115.5,117.0,2770190,323242574,2131,,,449131,-73000,85828,6969.0,96.0,,finmind,2026-07-15T18:33:18.905827+08:00
2025-07-29,126.5,128.5,125.0,127.5,49438107,6320878246,20797,,,-1685005,1313972,1406620,11516.0,152.0,,finmind,2026-07-15T18:33:18.905827+08:00
2025-07-30,125.0,127.0,123.5,124.0,23583473,2949678182,18675,,,3012495,657000,-111782,10529.0,111.0,,finmind,2026-07-15T18:33:18.905827+08:00
2025-07-31,124.0,126.0,123.5,125.5,15701132,1959468881,6650,,,557063,1588972,62338,8073.0,116.0,,finmind,2026-07-15T18:33:18.905827+08:00
2025-08-01,123.5,126.0,122.5,122.5,8978906,1110407761,6951,,,-2605470,178858,-38280,7933.0,106.0,,finmind,2026-07-15T18:33:18.905827+08:00
2025-08-04,121.0,123.0,121.0,122.0,6749981,822567853,4171,,,885864,-16000,-116195,7742.0,121.0,,finmind,2026-07-15T18:33:18.905827+08:00
2025-08-05,122.0,123.0,120.5,121.5,5946187,719911260,4436,,,713535,-54028,-148988,7801.0,121.0,,finmind,2026-07-15T18:33:18.905827+08:00
2025-08-06,121.0,123.0,120.5,122.0,7132754,870925660,3456,,,-81097,30000,-73844,8700.0,121.0,,finmind,2026-07-15T18:33:18.905827+08:00
2025-08-07,122.5,124.5,121.5,124.0,8343048,1028284515,4586,,,1030199,2000,-129674,8900.0,125.0,,finmind,2026-07-15T18:33:18.905827+08:00
2025-08-08,125.0,132.0,124.5,129.0,22433186,2895505240,13170,,,1045700,1452000,430741,9043.0,144.0,,finmind,2026-07-15T18:33:18.905827+08:00
2025-08-11,131.5,141.5,131.5,141.5,32570653,4510854729,19476,,,-2288862,899905,132125,12790.0,253.0,,finmind,2026-07-15T18:33:18.905827+08:00
