date,open,high,low,close,volume_shares,value_twd,transactions,limit_up,limit_down,foreign_net_shares,trust_net_shares,dealer_net_shares,margin_balance_shares,short_balance_shares,daytrade_ratio,source,fetched_at
2015-01-05,16.0,16.2,15.85,16.1,1822656,29246824,756,,,119893.0,0.0,173000.0,17214000,37000,,finmind,2026-07-17T14:20:42.477597+08:00
2015-01-06,15.9,15.9,15.7,15.7,1849205,29188197,777,,,-104000.0,0.0,-321000.0,17178000,34000,,finmind,2026-07-17T14:20:42.477597+08:00
2015-01-07,15.7,15.9,15.7,15.8,950071,15005022,446,,,-40000.0,0.0,3000.0,17272000,35000,,finmind,2026-07-17T14:20:42.477597+08:00
2015-01-08,16.0,16.05,15.8,15.8,1070122,17036020,547,,,-188632.0,0.0,-21000.0,17563000,35000,,finmind,2026-07-17T14:20:42.477597+08:00
2015-01-09,16.0,16.0,15.8,15.95,1012158,16084397,474,,,-106000.0,0.0,9000.0,17520000,35000,,finmind,2026-07-17T14:20:42.477597+08:00
2015-01-12,16.0,16.0,15.8,15.8,1055141,16741630,513,,,-180000.0,0.0,1000.0,17679000,35000,,finmind,2026-07-17T14:20:42.477597+08:00
2015-01-13,15.8,16.15,15.75,16.0,1887467,30177871,665,,,-38000.0,0.0,213000.0,17568000,35000,,finmind,2026-07-17T14:20:42.477597+08:00
2015-01-14,16.0,16.1,15.85,15.95,941987,15008742,436,,,44000.0,0.0,-145000.0,17472000,35000,,finmind,2026-07-17T14:20:42.477597+08:00
2015-01-15,16.0,16.6,15.95,16.3,4198835,68417212,1415,,,-58000.0,0.0,318000.0,18089000,29000,,finmind,2026-07-17T14:20:42.477597+08:00
2015-01-16,16.3,16.3,15.8,15.9,2473706,39442767,1016,,,-505215.0,0.0,-309000.0,18002000,25000,,finmind,2026-07-17T14:20:42.477597+08:00
2015-01-19,16.05,16.1,15.8,15.9,1250886,19898996,435,,,-410000.0,0.0,-47000.0,18038000,34000,,finmind,2026-07-17T14:20:42.477597+08:00
2015-01-20,15.9,15.9,15.8,15.85,2378144,37696624,718,,,-1608000.0,0.0,89000.0,18560000,33000,,finmind,2026-07-17T14:20:42.477597+08:00
2015-01-21,15.95,15.95,15.65,15.7,1185014,18690766,544,,,-84000.0,0.0,18000.0,18377000,33000,,finmind,2026-07-17T14:20:42.477597+08:00
2015-01-22,15.85,15.9,15.7,15.8,808093,12772201,402,,,214000.0,-47857.0,5000.0,18302000,32000,,finmind,2026-07-17T14:20:42.477597+08:00
2015-01-23,15.8,15.95,15.7,15.8,1596622,25265691,828,,,-862000.0,0.0,1000.0,18628000,31000,,finmind,2026-07-17T14:20:42.477597+08:00
2015-01-26,15.8,15.9,15.75,15.8,806178,12739692,314,,,-156000.0,0.0,0.0,18573000,37000,,finmind,2026-07-17T14:20:42.477597+08:00
2015-01-27,15.9,15.9,15.75,15.75,903435,14269518,437,,,-372000.0,0.0,40000.0,18462000,27000,,finmind,2026-07-17T14:20:42.477597+08:00
2015-01-28,15.75,16.05,15.75,15.85,1115699,17729556,485,,,157000.0,0.0,70000.0,18548000,27000,,finmind,2026-07-17T14:20:42.477597+08:00
2015-01-29,15.85,15.9,15.75,15.8,880983,13912729,348,,,-157000.0,0.0,-121000.0,18523000,27000,,finmind,2026-07-17T14:20:42.477597+08:00
2015-01-30,15.8,15.85,15.65,15.65,775141,12187447,394,,,-264000.0,0.0,-11000.0,18414000,27000,,finmind,2026-07-17T14:20:42.477597+08:00
2015-02-02,15.65,15.75,15.6,15.6,480991,7527905,243,,,-57000.0,0.0,-21000.0,18394000,27000,,finmind,2026-07-17T14:20:42.477597+08:00
2015-02-03,15.6,15.75,15.6,15.65,428547,6704301,224,,,57000.0,0.0,0.0,18245000,27000,,finmind,2026-07-17T14:20:42.477597+08:00
2015-02-04,15.8,15.8,15.6,15.65,621562,9743062,248,,,-20000.0,0.0,18000.0,18065000,27000,,finmind,2026-07-17T14:20:42.477597+08:00
