date,open,high,low,close,volume_shares,value_twd,transactions,limit_up,limit_down,foreign_net_shares,trust_net_shares,dealer_net_shares,margin_balance_shares,short_balance_shares,daytrade_ratio,source,fetched_at
2023-12-21,0.0,155.0,132.0,146.5,253143,36741341,335,,,nan,nan,nan,nan,nan,,finmind,2026-07-17T15:18:06.488663+08:00
2023-12-22,145.14,146.5,134.0,139.0,148940,20628211,205,,,nan,nan,nan,nan,nan,,finmind,2026-07-17T15:18:06.488663+08:00
2023-12-25,138.5,142.5,139.0,142.5,53420,7538039,62,,,nan,nan,nan,nan,nan,,finmind,2026-07-17T15:18:06.488663+08:00
2023-12-26,141.11,142.5,140.5,141.0,24608,3475451,37,,,nan,nan,nan,nan,nan,,finmind,2026-07-17T15:18:06.488663+08:00
2023-12-27,141.23,141.5,139.5,140.0,45900,6443581,49,,,nan,nan,nan,nan,nan,,finmind,2026-07-17T15:18:06.488663+08:00
2023-12-28,140.38,146.5,140.5,144.5,73769,10569605,81,,,nan,nan,nan,nan,nan,,finmind,2026-07-17T15:18:06.488663+08:00
2023-12-29,143.28,145.5,143.5,145.5,80848,11700307,75,,,nan,nan,nan,nan,nan,,finmind,2026-07-17T15:18:06.488663+08:00
2024-01-02,144.72,146.0,144.0,145.0,57440,8319361,52,,,nan,nan,nan,nan,nan,,finmind,2026-07-17T15:18:06.488663+08:00
2024-01-03,144.84,145.0,144.0,144.5,10200,1475900,11,,,nan,nan,nan,nan,nan,,finmind,2026-07-17T15:18:06.488663+08:00
2024-01-04,144.7,145.0,143.0,144.5,27218,3926426,21,,,nan,nan,nan,nan,nan,,finmind,2026-07-17T15:18:06.488663+08:00
2024-01-05,144.26,144.5,143.5,144.5,6161,886164,9,,,nan,nan,nan,nan,nan,,finmind,2026-07-17T15:18:06.488663+08:00
2024-01-08,143.83,144.5,140.5,140.5,24044,3439870,28,,,nan,nan,nan,nan,nan,,finmind,2026-07-17T15:18:06.488663+08:00
2024-01-09,143.07,140.5,139.5,140.5,16825,2356525,25,,,nan,nan,nan,nan,nan,,finmind,2026-07-17T15:18:06.488663+08:00
2024-01-10,140.06,140.5,140.0,140.5,10193,1429616,11,,,nan,nan,nan,nan,nan,,finmind,2026-07-17T15:18:06.488663+08:00
2024-01-11,140.25,144.0,140.0,144.0,42250,5996650,26,,,nan,nan,nan,nan,nan,,finmind,2026-07-17T15:18:06.488663+08:00
2024-01-12,141.93,143.0,141.5,141.5,3040,432712,5,,,nan,nan,nan,nan,nan,,finmind,2026-07-17T15:18:06.488663+08:00
2024-01-15,142.34,146.5,143.5,145.5,48735,7048065,28,,,nan,nan,nan,nan,nan,,finmind,2026-07-17T15:18:06.488663+08:00
2024-01-16,144.62,144.0,143.0,143.0,24710,3551665,22,,,nan,nan,nan,nan,nan,,finmind,2026-07-17T15:18:06.488663+08:00
2024-01-17,143.73,144.0,143.0,143.5,8550,1225150,11,,,nan,nan,nan,nan,nan,,finmind,2026-07-17T15:18:06.488663+08:00
2024-01-18,143.29,143.0,142.0,142.5,15500,2206360,18,,,nan,nan,nan,nan,nan,,finmind,2026-07-17T15:18:06.488663+08:00
2024-01-19,142.35,142.5,141.0,141.5,19042,2698469,14,,,nan,nan,nan,nan,nan,,finmind,2026-07-17T15:18:06.488663+08:00
