date,open,high,low,close,volume_shares,value_twd,transactions,limit_up,limit_down,foreign_net_shares,trust_net_shares,dealer_net_shares,margin_balance_shares,short_balance_shares,daytrade_ratio,source,fetched_at
2015-01-05,17.75,17.75,17.55,17.7,354727,6254140,153,,,-23000.0,0.0,-1000.0,9010000,1176000,,finmind,2026-07-17T14:22:55.179823+08:00
2015-01-06,17.7,17.7,17.45,17.45,155516,2727998,105,,,-21000.0,0.0,0.0,8977000,1179000,,finmind,2026-07-17T14:22:55.179823+08:00
2015-01-07,17.45,17.55,17.35,17.4,341770,5962189,145,,,-30000.0,0.0,0.0,8865000,1050000,,finmind,2026-07-17T14:22:55.179823+08:00
2015-01-08,17.5,17.6,17.4,17.45,256377,4496303,122,,,-11000.0,0.0,0.0,8917000,1050000,,finmind,2026-07-17T14:22:55.179823+08:00
2015-01-09,17.55,17.6,17.45,17.55,178434,3122456,114,,,9000.0,0.0,1000.0,8871000,1040000,,finmind,2026-07-17T14:22:55.179823+08:00
2015-01-12,17.6,17.65,17.35,17.35,248981,4354014,110,,,5000.0,0.0,0.0,8780000,971000,,finmind,2026-07-17T14:22:55.179823+08:00
2015-01-13,17.4,17.65,17.25,17.25,360062,6242317,148,,,7000.0,0.0,1000.0,8843000,952000,,finmind,2026-07-17T14:22:55.179823+08:00
2015-01-14,17.35,17.4,17.2,17.2,233799,4036049,119,,,-9000.0,0.0,0.0,8816000,949000,,finmind,2026-07-17T14:22:55.179823+08:00
2015-01-15,17.15,17.4,17.15,17.3,273765,4723598,142,,,7000.0,0.0,0.0,8815000,942000,,finmind,2026-07-17T14:22:55.179823+08:00
2015-01-16,17.3,17.3,17.2,17.2,173542,2991819,96,,,-39856.0,0.0,-2000.0,8891000,942000,,finmind,2026-07-17T14:22:55.179823+08:00
2015-01-19,17.3,17.3,17.0,17.0,225748,3860616,114,,,1.0,0.0,0.0,8874000,948000,,finmind,2026-07-17T14:22:55.179823+08:00
2015-01-20,17.0,17.25,16.85,17.2,255503,4351051,111,,,18000.0,0.0,1000.0,8875000,964000,,finmind,2026-07-17T14:22:55.179823+08:00
2015-01-21,17.2,17.2,17.1,17.1,89583,1536011,61,,,13000.0,0.0,0.0,8883000,924000,,finmind,2026-07-17T14:22:55.179823+08:00
2015-01-22,17.25,17.6,17.15,17.25,587733,10223605,160,,,8000.0,0.0,-8000.0,9041000,1224000,,finmind,2026-07-17T14:22:55.179823+08:00
2015-01-23,17.4,17.45,17.1,17.15,307916,5344111,119,,,0.0,0.0,3000.0,9081000,1312000,,finmind,2026-07-17T14:22:55.179823+08:00
2015-01-26,17.25,17.45,17.2,17.4,218348,3794117,101,,,-3000.0,0.0,-1000.0,9099000,1324000,,finmind,2026-07-17T14:22:55.179823+08:00
2015-01-27,17.45,18.05,17.45,17.75,869823,15484565,409,,,-15000.0,0.0,-11000.0,9393000,1458000,,finmind,2026-07-17T14:22:55.179823+08:00
2015-01-28,17.75,17.75,17.45,17.65,240045,4214840,126,,,-3000.0,0.0,0.0,9393000,1458000,,finmind,2026-07-17T14:22:55.179823+08:00
2015-01-29,17.6,17.65,17.45,17.55,117141,2055215,63,,,-2000.0,0.0,2000.0,9364000,1462000,,finmind,2026-07-17T14:22:55.179823+08:00
2015-01-30,17.6,17.75,17.45,17.5,193926,3406902,90,,,-20000.0,0.0,0.0,9289000,1435000,,finmind,2026-07-17T14:22:55.179823+08:00
2015-02-02,17.4,17.5,17.2,17.3,201073,3486644,98,,,-5000.0,0.0,4000.0,9262000,1409000,,finmind,2026-07-17T14:22:55.179823+08:00
2015-02-03,17.3,17.35,17.1,17.1,252289,4331124,108,,,-8000.0,0.0,1000.0,9285000,1405000,,finmind,2026-07-17T14:22:55.179823+08:00
2015-02-04,17.15,17.75,17.15,17.55,437681,7663129,218,,,0.0,0.0,0.0,9372000,1422000,,finmind,2026-07-17T14:22:55.179823+08:00
2015-02-05,17.55,17.55,17.3,17.3,145367,2521228,78,,,-5000.0,0.0,0.0,9365000,1420000,,finmind,2026-07-17T14:22:55.179823+08:00
2015-02-06,17.45,18.1,17.3,17.9,1658392,29639984,614,,,0.0,0.0,0.0,9658000,1633000,,finmind,2026-07-17T14:22:55.179823+08:00
