cb_id,stock_id,cb_name,InitialDateOfConversion,DueDateOfConversion,IssuanceAmount
22363,2236,百達三KY,2026-05-11,2031-02-10,250000000
22391,2239,英利一KY,2017-04-11,2020-01-10,1100000000
22392,2239,英利二KY,2018-09-23,2021-06-22,400000000
22393,2239,英利三KY,2022-01-20,2024-10-19,500000000
22431,2243,宏旭一KY,2019-03-01,2023-11-30,400000000
22471,2247,汎德永業一,2025-09-27,2028-06-26,1000000000
22472,2247,汎德永業二,2025-10-01,2028-06-30,1000000000
22501,2250,IKKA一KY,2024-06-05,2029-03-04,250000000
23142,2314,台揚二,2016-12-01,2019-10-31,400000000
23153,2315,神達三,2005-09-12,2010-08-01,3000000000
23171,2317,鴻海一,2006-12-11,2011-10-31,17999998976
23291,2329,華泰一,2026-06-19,2029-03-18,2500000000
233201,2332,友訊E1,2015-07-18,2020-06-17,1200000000
23323,2332,友訊三,2010-02-13,2015-01-02,2000000000
23372,2337,旺宏二,2025-06-25,2028-03-24,3000000000
23383,2338,光罩三,2021-11-04,2026-08-03,2000000000
23471,2347,聯強一,2008-07-25,2013-06-14,6000000000
23472,2347,聯強二,2011-02-15,2014-01-04,5000000000
23481,2348,海悅一,2019-10-17,2024-07-16,500000000
23511,2351,順德一,2025-09-18,2028-06-17,1200000000
235201,2352,達科E1,2007-02-18,2012-01-08,4499999744
23532,2353,宏？二,2013-06-15,2016-05-04,6000000000
23541,2354,鴻準一,2007-12-02,2012-10-22,13440000000
23571,2357,華碩一,2006-12-08,2011-10-28,12000000000
23581,2358,廷鑫一,2022-12-29,2025-09-28,300000000
23602,2360,致茂二,2014-06-24,2019-05-13,2000000000
23651,2365,昆盈一,2010-05-23,2013-04-12,600000000
23652,2365,昆盈二,2010-05-24,2013-04-13,300000000
23671,2367,燿華一,2016-08-07,2021-07-06,500000000
23672,2367,燿華二,2016-08-08,2021-07-07,200000000
23682,2368,金像電二,2024-03-06,2028-12-05,4000000000
23683,2368,金像電三,2026-02-25,2030-11-24,8999999488
23692,2369,菱生二,2008-01-03,2012-09-22,400000000
23712,2371,大同二,2008-01-10,2012-11-30,2500000000
23741,2374,佳能一,2010-03-07,2015-01-27,1500000000
23742,2374,佳能二,2026-05-03,2031-02-02,300000000
23772,2377,微星二,2008-10-26,2013-04-15,3000000000
