revenue_month,revenue,yoy,mom,cumulative_yoy,source,fetched_at
2014-10,462454000,,,,finmind,2026-07-22T01:05:03.888571+08:00
2014-11,451021000,,-0.024722,,finmind,2026-07-22T01:05:03.888571+08:00
2014-12,442191000,,-0.019578,,finmind,2026-07-22T01:05:03.888571+08:00
2015-01,471485000,,0.066247,,finmind,2026-07-22T01:05:03.888571+08:00
2015-02,442279000,,-0.061945,,finmind,2026-07-22T01:05:03.888571+08:00
2015-03,464415000,,0.05005,,finmind,2026-07-22T01:05:03.888571+08:00
2015-04,461520000,,-0.006234,,finmind,2026-07-22T01:05:03.888571+08:00
2015-05,438056000,,-0.050841,,finmind,2026-07-22T01:05:03.888571+08:00
2015-06,429376000,,-0.019815,,finmind,2026-07-22T01:05:03.888571+08:00
2015-07,413062000,,-0.037995,,finmind,2026-07-22T01:05:03.888571+08:00
2015-08,392860000,,-0.048908,,finmind,2026-07-22T01:05:03.888571+08:00
2015-09,329092000,,-0.162317,,finmind,2026-07-22T01:05:03.888571+08:00
2015-10,341432000,-0.261695,0.037497,,finmind,2026-07-22T01:05:03.888571+08:00
2015-11,302254000,-0.329845,-0.114746,,finmind,2026-07-22T01:05:03.888571+08:00
2015-12,311790000,-0.294897,0.03155,,finmind,2026-07-22T01:05:03.888571+08:00
2016-01,320097000,-0.321088,0.026643,-0.321088,finmind,2026-07-22T01:05:03.888571+08:00
2016-02,322553000,-0.270702,0.007673,-0.2967,finmind,2026-07-22T01:05:03.888571+08:00
2016-03,388325000,-0.163841,0.203911,-0.25193,finmind,2026-07-22T01:05:03.888571+08:00
2016-04,415622000,-0.09945,0.070294,-0.213677,finmind,2026-07-22T01:05:03.888571+08:00
2016-05,446939000,0.020278,0.07535,-0.168683,finmind,2026-07-22T01:05:03.888571+08:00
2016-06,385083000,-0.103157,-0.138399,-0.15829,finmind,2026-07-22T01:05:03.888571+08:00
2016-07,369631000,-0.105144,-0.040126,-0.151254,finmind,2026-07-22T01:05:03.888571+08:00
2016-08,368669000,-0.061577,-0.002603,-0.141226,finmind,2026-07-22T01:05:03.888571+08:00
2016-09,336227000,0.021681,-0.087998,-0.127272,finmind,2026-07-22T01:05:03.888571+08:00
2016-10,329060000,-0.036236,-0.021316,-0.119843,finmind,2026-07-22T01:05:03.888571+08:00
2016-11,352080000,0.164848,0.069957,-0.10066,finmind,2026-07-22T01:05:03.888571+08:00
2016-12,370333000,0.187764,0.051843,-0.081916,finmind,2026-07-22T01:05:03.888571+08:00
2017-01,377567000,0.179539,0.019534,0.179539,finmind,2026-07-22T01:05:03.888571+08:00
2017-02,376011000,0.165734,-0.004121,0.17261,finmind,2026-07-22T01:05:03.888571+08:00
2017-03,414430000,0.067225,0.102175,0.132916,finmind,2026-07-22T01:05:03.888571+08:00
2017-04,340420000,-0.180938,-0.178583,0.042742,finmind,2026-07-22T01:05:03.888571+08:00
2017-05,246892000,-0.447594,-0.274743,-0.072994,finmind,2026-07-22T01:05:03.888571+08:00
2017-06,260550000,-0.323393,0.05532,-0.115311,finmind,2026-07-22T01:05:03.888571+08:00
2017-07,310920000,-0.158837,0.193322,-0.121386,finmind,2026-07-22T01:05:03.888571+08:00
2017-08,474537000,0.287163,0.526235,-0.071461,finmind,2026-07-22T01:05:03.888571+08:00
2017-09,490080000,0.457587,0.032754,-0.018412,finmind,2026-07-22T01:05:03.888571+08:00
2017-10,346986000,0.054476,-0.291981,-0.011899,finmind,2026-07-22T01:05:03.888571+08:00
2017-11,335652000,-0.04666,-0.032664,-0.014932,finmind,2026-07-22T01:05:03.888571+08:00
2017-12,418959000,0.131303,0.248195,-0.002637,finmind,2026-07-22T01:05:03.888571+08:00
2018-01,370226000,-0.019443,-0.116319,-0.019443,finmind,2026-07-22T01:05:03.888571+08:00
2018-02,331285000,-0.118949,-0.105182,-0.069093,finmind,2026-07-22T01:05:03.888571+08:00
2018-03,421025000,0.015913,0.270885,-0.038931,finmind,2026-07-22T01:05:03.888571+08:00
2018-04,406935000,0.195391,-0.033466,0.01395,finmind,2026-07-22T01:05:03.888571+08:00
2018-05,409226000,0.65751,0.00563,0.104469,finmind,2026-07-22T01:05:03.888571+08:00
2018-06,422585000,0.621896,0.032645,0.171346,finmind,2026-07-22T01:05:03.888571+08:00
2018-07,445888000,0.434092,0.055144,0.206456,finmind,2026-07-22T01:05:03.888571+08:00
2018-08,463994000,-0.022217,0.040607,0.167719,finmind,2026-07-22T01:05:03.888571+08:00
2018-09,483963000,-0.012482,0.043037,0.140888,finmind,2026-07-22T01:05:03.888571+08:00
2018-10,435245000,0.254359,-0.100665,0.15171,finmind,2026-07-22T01:05:03.888571+08:00
2018-11,450888000,0.34332,0.035941,0.167893,finmind,2026-07-22T01:05:03.888571+08:00
2018-12,349856000,-0.16494,-0.224073,0.136151,finmind,2026-07-22T01:05:03.888571+08:00
2019-01,344306000,-0.070011,-0.015864,-0.070011,finmind,2026-07-22T01:05:03.888571+08:00
2019-02,333185000,0.005735,-0.0323,-0.03424,finmind,2026-07-22T01:05:03.888571+08:00
2019-03,447924000,0.063889,0.34437,0.002565,finmind,2026-07-22T01:05:03.888571+08:00
2019-04,339243000,-0.166346,-0.242633,-0.042376,finmind,2026-07-22T01:05:03.888571+08:00
2019-05,321986000,-0.213183,-0.050869,-0.078431,finmind,2026-07-22T01:05:03.888571+08:00
2019-06,357850000,-0.153188,0.111384,-0.091809,finmind,2026-07-22T01:05:03.888571+08:00
2019-07,335175000,-0.248298,-0.063365,-0.116666,finmind,2026-07-22T01:05:03.888571+08:00
2019-08,369620000,-0.203395,0.102767,-0.128968,finmind,2026-07-22T01:05:03.888571+08:00
2019-09,256471000,-0.470061,-0.306123,-0.172928,finmind,2026-07-22T01:05:03.888571+08:00
2019-10,247303000,-0.431807,-0.035747,-0.199817,finmind,2026-07-22T01:05:03.888571+08:00
2019-11,311949000,-0.308145,0.261404,-0.210341,finmind,2026-07-22T01:05:03.888571+08:00
2019-12,289754000,-0.171791,-0.071149,-0.207639,finmind,2026-07-22T01:05:03.888571+08:00
2020-01,225708000,-0.344455,-0.221036,-0.344455,finmind,2026-07-22T01:05:03.888571+08:00
2020-02,280118000,-0.159272,0.241064,-0.253383,finmind,2026-07-22T01:05:03.888571+08:00
2020-03,260163000,-0.41918,-0.071238,-0.319372,finmind,2026-07-22T01:05:03.888571+08:00
2020-04,212973000,-0.372211,-0.181386,-0.331611,finmind,2026-07-22T01:05:03.888571+08:00
2020-05,218516000,-0.321349,0.026027,-0.329761,finmind,2026-07-22T01:05:03.888571+08:00
2020-06,243255000,-0.320232,0.113214,-0.328171,finmind,2026-07-22T01:05:03.888571+08:00
2020-07,287800000,-0.141344,0.183121,-0.302918,finmind,2026-07-22T01:05:03.888571+08:00
2020-08,430941000,0.165903,0.497363,-0.242101,finmind,2026-07-22T01:05:03.888571+08:00
2020-09,328473000,0.280741,-0.237777,-0.198925,finmind,2026-07-22T01:05:03.888571+08:00
2020-10,329038000,0.330505,0.00172,-0.159877,finmind,2026-07-22T01:05:03.888571+08:00
2020-11,310408000,-0.00494,-0.05662,-0.14669,finmind,2026-07-22T01:05:03.888571+08:00
2020-12,365613000,0.261805,0.177847,-0.11676,finmind,2026-07-22T01:05:03.888571+08:00
2021-01,340450000,0.508365,-0.068824,0.508365,finmind,2026-07-22T01:05:03.888571+08:00
2021-02,307501000,0.097755,-0.096781,0.280976,finmind,2026-07-22T01:05:03.888571+08:00
2021-03,379823000,0.459942,0.235193,0.341761,finmind,2026-07-22T01:05:03.888571+08:00
2021-04,406409000,0.908265,0.069996,0.465004,finmind,2026-07-22T01:05:03.888571+08:00
2021-05,369782000,0.692242,-0.090123,0.50647,finmind,2026-07-22T01:05:03.888571+08:00
2021-06,408357000,0.67872,0.104318,0.535553,finmind,2026-07-22T01:05:03.888571+08:00
2021-07,308831000,0.073075,-0.243723,0.458551,finmind,2026-07-22T01:05:03.888571+08:00
