revenue_month,revenue,yoy,mom,cumulative_yoy,source,fetched_at
2014-10,1537245000,,,,finmind,2026-07-22T01:05:03.888571+08:00
2014-11,1874017000,,0.219075,,finmind,2026-07-22T01:05:03.888571+08:00
2014-12,1902452000,,0.015173,,finmind,2026-07-22T01:05:03.888571+08:00
2015-01,1742135000,,-0.084269,,finmind,2026-07-22T01:05:03.888571+08:00
2015-02,957553000,,-0.450357,,finmind,2026-07-22T01:05:03.888571+08:00
2015-03,1331068000,,0.390072,,finmind,2026-07-22T01:05:03.888571+08:00
2015-04,1353520000,,0.016868,,finmind,2026-07-22T01:05:03.888571+08:00
2015-05,1409772000,,0.04156,,finmind,2026-07-22T01:05:03.888571+08:00
2015-06,1427431000,,0.012526,,finmind,2026-07-22T01:05:03.888571+08:00
2015-07,1022582000,,-0.283621,,finmind,2026-07-22T01:05:03.888571+08:00
2015-08,1429978000,,0.398399,,finmind,2026-07-22T01:05:03.888571+08:00
2015-09,2115938000,,0.4797,,finmind,2026-07-22T01:05:03.888571+08:00
2015-10,2412604000,0.569434,0.140205,,finmind,2026-07-22T01:05:03.888571+08:00
2015-11,1877859000,0.00205,-0.221646,,finmind,2026-07-22T01:05:03.888571+08:00
2015-12,1019887000,-0.463909,-0.456888,,finmind,2026-07-22T01:05:03.888571+08:00
2016-01,1641462000,-0.057787,0.609455,-0.057787,finmind,2026-07-22T01:05:03.888571+08:00
2016-02,883703000,-0.077124,-0.461637,-0.064646,finmind,2026-07-22T01:05:03.888571+08:00
2016-03,1226016000,-0.078923,0.387362,-0.06936,finmind,2026-07-22T01:05:03.888571+08:00
2016-04,1167164000,-0.137682,-0.048003,-0.086535,finmind,2026-07-22T01:05:03.888571+08:00
2016-05,1074387000,-0.2379,-0.079489,-0.117944,finmind,2026-07-22T01:05:03.888571+08:00
2016-06,1214876000,-0.148907,0.130762,-0.12332,finmind,2026-07-22T01:05:03.888571+08:00
2016-07,1557524000,0.523129,0.282044,-0.051809,finmind,2026-07-22T01:05:03.888571+08:00
2016-08,2039498000,0.426244,0.309449,0.012234,finmind,2026-07-22T01:05:03.888571+08:00
2016-09,2126671000,0.005072,0.042742,0.01105,finmind,2026-07-22T01:05:03.888571+08:00
2016-10,2452838000,0.016677,0.15337,0.011943,finmind,2026-07-22T01:05:03.888571+08:00
2016-11,1811779000,-0.035189,-0.261354,0.006761,finmind,2026-07-22T01:05:03.888571+08:00
2016-12,1900364000,0.863308,0.048894,0.055024,finmind,2026-07-22T01:05:03.888571+08:00
2017-01,1754278000,0.068729,-0.076873,0.068729,finmind,2026-07-22T01:05:03.888571+08:00
2017-02,1325324000,0.499739,-0.244519,0.219565,finmind,2026-07-22T01:05:03.888571+08:00
2017-03,1201002000,-0.020403,-0.093805,0.141135,finmind,2026-07-22T01:05:03.888571+08:00
2017-04,1074701000,-0.07922,-0.105163,0.088843,finmind,2026-07-22T01:05:03.888571+08:00
2017-05,1127375000,0.049319,0.049013,0.081757,finmind,2026-07-22T01:05:03.888571+08:00
2017-06,1501438000,0.235878,0.3318,0.107735,finmind,2026-07-22T01:05:03.888571+08:00
2017-07,1733678000,0.113099,0.154678,0.108688,finmind,2026-07-22T01:05:03.888571+08:00
2017-08,2353159000,0.153793,0.357322,0.117202,finmind,2026-07-22T01:05:03.888571+08:00
2017-09,3030360000,0.424931,0.287784,0.167811,finmind,2026-07-22T01:05:03.888571+08:00
2017-10,3151306000,0.284759,0.039911,0.186457,finmind,2026-07-22T01:05:03.888571+08:00
2017-11,4039729000,1.229703,0.281922,0.296375,finmind,2026-07-22T01:05:03.888571+08:00
2017-12,3554054000,0.870196,-0.120225,0.353478,finmind,2026-07-22T01:05:03.888571+08:00
2018-01,3043875000,0.735116,-0.143548,0.735116,finmind,2026-07-22T01:05:03.888571+08:00
2018-02,1207496000,-0.088905,-0.603303,0.380494,finmind,2026-07-22T01:05:03.888571+08:00
2018-03,1211857000,0.009038,0.003612,0.276275,finmind,2026-07-22T01:05:03.888571+08:00
2018-04,1521692000,0.415921,0.25567,0.304299,finmind,2026-07-22T01:05:03.888571+08:00
2018-05,1676388000,0.486983,0.101661,0.336069,finmind,2026-07-22T01:05:03.888571+08:00
2018-06,1755652000,0.169314,0.047283,0.30471,finmind,2026-07-22T01:05:03.888571+08:00
2018-07,2382871000,0.37446,0.357257,0.317154,finmind,2026-07-22T01:05:03.888571+08:00
2018-08,2721874000,0.156689,0.142267,0.285872,finmind,2026-07-22T01:05:03.888571+08:00
2018-09,2865634000,-0.054359,0.052817,0.217599,finmind,2026-07-22T01:05:03.888571+08:00
2018-10,3402343000,0.079661,0.187292,0.193784,finmind,2026-07-22T01:05:03.888571+08:00
2018-11,3014019000,-0.253906,-0.114134,0.112655,finmind,2026-07-22T01:05:03.888571+08:00
2018-12,1966791000,-0.446606,-0.347452,0.035753,finmind,2026-07-22T01:05:03.888571+08:00
2019-01,2027698000,-0.333843,0.030968,-0.333843,finmind,2026-07-22T01:05:03.888571+08:00
2019-02,896001000,-0.257968,-0.558119,-0.312293,finmind,2026-07-22T01:05:03.888571+08:00
2019-03,1464508000,0.208483,0.634494,-0.196774,finmind,2026-07-22T01:05:03.888571+08:00
2019-04,1614412000,0.060932,0.102358,-0.140632,finmind,2026-07-22T01:05:03.888571+08:00
2019-05,1513033000,-0.097445,-0.062796,-0.132273,finmind,2026-07-22T01:05:03.888571+08:00
2019-06,1527864000,-0.129746,0.009802,-0.131847,finmind,2026-07-22T01:05:03.888571+08:00
2019-07,2532957000,0.062985,0.657842,-0.095576,finmind,2026-07-22T01:05:03.888571+08:00
2019-08,2625428000,-0.035434,0.036507,-0.08503,finmind,2026-07-22T01:05:03.888571+08:00
2019-09,3145626000,0.097707,0.198138,-0.05655,finmind,2026-07-22T01:05:03.888571+08:00
2019-10,3187819000,-0.063052,0.013413,-0.057566,finmind,2026-07-22T01:05:03.888571+08:00
2019-11,3027561000,0.004493,-0.050272,-0.050025,finmind,2026-07-22T01:05:03.888571+08:00
