revenue_month,revenue,yoy,mom,cumulative_yoy,source,fetched_at
2024-05,55508000,,,,finmind,2026-07-16T18:00:10.181657+08:00
2024-06,33762000,,-0.391763,,finmind,2026-07-16T18:00:10.181657+08:00
2024-07,24737000,,-0.267312,,finmind,2026-07-16T18:00:10.181657+08:00
2024-08,50209000,,1.029713,,finmind,2026-07-16T18:00:10.181657+08:00
2024-09,32097000,,-0.360732,,finmind,2026-07-16T18:00:10.181657+08:00
2024-10,29892000,,-0.068698,,finmind,2026-07-16T18:00:10.181657+08:00
2024-11,32235000,,0.078382,,finmind,2026-07-16T18:00:10.181657+08:00
2024-12,52921000,,0.641725,,finmind,2026-07-16T18:00:10.181657+08:00
2025-01,19960000,,-0.622834,,finmind,2026-07-16T18:00:10.181657+08:00
2025-02,16382000,,-0.179259,,finmind,2026-07-16T18:00:10.181657+08:00
2025-03,18799000,,0.14754,,finmind,2026-07-16T18:00:10.181657+08:00
2025-04,21620000,,0.150061,,finmind,2026-07-16T18:00:10.181657+08:00
2025-05,23747000,-0.572188,0.098381,,finmind,2026-07-16T18:00:10.181657+08:00
2025-06,39386000,0.166578,0.658567,,finmind,2026-07-16T18:00:10.181657+08:00
2025-07,26883000,0.086753,-0.317448,,finmind,2026-07-16T18:00:10.181657+08:00
2025-08,28755000,-0.427294,0.069635,,finmind,2026-07-16T18:00:10.181657+08:00
2025-09,42022000,0.309219,0.461381,,finmind,2026-07-16T18:00:10.181657+08:00
2025-10,69746000,1.333266,0.65975,,finmind,2026-07-16T18:00:10.181657+08:00
2025-11,64611000,1.004374,-0.073624,,finmind,2026-07-16T18:00:10.181657+08:00
2025-12,31994000,-0.395438,-0.504821,,finmind,2026-07-16T18:00:10.181657+08:00
2026-01,30235000,0.51478,-0.054979,0.51478,finmind,2026-07-16T18:00:10.181657+08:00
2026-02,23236000,0.418386,-0.231487,0.471328,finmind,2026-07-16T18:00:10.181657+08:00
2026-03,20338000,0.081866,-0.12472,0.33855,finmind,2026-07-16T18:00:10.181657+08:00
2026-04,22012000,0.018131,0.082309,0.248303,finmind,2026-07-16T18:00:10.181657+08:00
2026-05,21313000,-0.102497,-0.031755,0.16542,finmind,2026-07-16T18:00:10.181657+08:00
2026-06,28158000,-0.285076,0.321165,0.038586,finmind,2026-07-16T18:00:10.181657+08:00
