revenue_month,revenue,yoy,mom,cumulative_yoy,source,fetched_at
2014-10,154290000,,,,finmind,2026-07-22T01:05:03.888571+08:00
2014-11,173278000,,0.123067,,finmind,2026-07-22T01:05:03.888571+08:00
2014-12,176148000,,0.016563,,finmind,2026-07-22T01:05:03.888571+08:00
2015-01,148797000,,-0.155273,,finmind,2026-07-22T01:05:03.888571+08:00
2015-02,111527000,,-0.250475,,finmind,2026-07-22T01:05:03.888571+08:00
2015-03,175434000,,0.573018,,finmind,2026-07-22T01:05:03.888571+08:00
2015-04,177358000,,0.010967,,finmind,2026-07-22T01:05:03.888571+08:00
2015-05,169789000,,-0.042676,,finmind,2026-07-22T01:05:03.888571+08:00
2015-06,147349000,,-0.132164,,finmind,2026-07-22T01:05:03.888571+08:00
2015-07,124804000,,-0.153004,,finmind,2026-07-22T01:05:03.888571+08:00
2015-08,116543000,,-0.066192,,finmind,2026-07-22T01:05:03.888571+08:00
2015-09,142650000,,0.224012,,finmind,2026-07-22T01:05:03.888571+08:00
2015-10,150759000,-0.022885,0.056845,,finmind,2026-07-22T01:05:03.888571+08:00
2015-11,122429000,-0.293453,-0.187916,,finmind,2026-07-22T01:05:03.888571+08:00
2015-12,154010000,-0.125678,0.257954,,finmind,2026-07-22T01:05:03.888571+08:00
2016-01,136287000,-0.084074,-0.115077,-0.084074,finmind,2026-07-22T01:05:03.888571+08:00
2016-02,121616000,0.090462,-0.107648,-0.0093,finmind,2026-07-22T01:05:03.888571+08:00
2016-03,162010000,-0.076519,0.332144,-0.036362,finmind,2026-07-22T01:05:03.888571+08:00
2016-04,167925000,-0.053186,0.03651,-0.041229,finmind,2026-07-22T01:05:03.888571+08:00
2016-05,188912000,0.112628,0.124978,-0.007862,finmind,2026-07-22T01:05:03.888571+08:00
2016-06,132619000,-0.099967,-0.297985,-0.022451,finmind,2026-07-22T01:05:03.888571+08:00
2016-07,98967000,-0.207021,-0.253749,-0.044284,finmind,2026-07-22T01:05:03.888571+08:00
2016-08,96847000,-0.169002,-0.021421,-0.05669,finmind,2026-07-22T01:05:03.888571+08:00
2016-09,93408000,-0.345195,-0.03551,-0.088004,finmind,2026-07-22T01:05:03.888571+08:00
2016-10,120614000,-0.199955,0.29126,-0.099525,finmind,2026-07-22T01:05:03.888571+08:00
2016-11,146793000,0.199005,0.217048,-0.076501,finmind,2026-07-22T01:05:03.888571+08:00
2016-12,132108000,-0.142212,-0.100039,-0.082312,finmind,2026-07-22T01:05:03.888571+08:00
2017-01,109818000,-0.194215,-0.168726,-0.194215,finmind,2026-07-22T01:05:03.888571+08:00
2017-02,100455000,-0.173998,-0.085259,-0.184682,finmind,2026-07-22T01:05:03.888571+08:00
2017-03,152041000,-0.061533,0.513523,-0.137169,finmind,2026-07-22T01:05:03.888571+08:00
2017-04,139304000,-0.170439,-0.083773,-0.146673,finmind,2026-07-22T01:05:03.888571+08:00
2017-05,181351000,-0.040024,0.301836,-0.120735,finmind,2026-07-22T01:05:03.888571+08:00
2017-06,198876000,0.499604,0.096636,-0.030267,finmind,2026-07-22T01:05:03.888571+08:00
2017-07,147456000,0.489951,-0.258553,0.020792,finmind,2026-07-22T01:05:03.888571+08:00
2017-08,147246000,0.520398,-0.001424,0.064572,finmind,2026-07-22T01:05:03.888571+08:00
2017-09,124715000,0.335164,-0.153016,0.08566,finmind,2026-07-22T01:05:03.888571+08:00
2017-10,106925000,-0.113494,-0.142645,0.067451,finmind,2026-07-22T01:05:03.888571+08:00
2017-11,95502000,-0.34941,-0.106832,0.02571,finmind,2026-07-22T01:05:03.888571+08:00
2017-12,112316000,-0.149817,0.176059,0.0112,finmind,2026-07-22T01:05:03.888571+08:00
2018-01,126630000,0.15309,0.127444,0.15309,finmind,2026-07-22T01:05:03.888571+08:00
2018-02,81913000,-0.18458,-0.353131,-0.008227,finmind,2026-07-22T01:05:03.888571+08:00
2018-03,137166000,-0.097835,0.674533,-0.04583,finmind,2026-07-22T01:05:03.888571+08:00
2018-04,134070000,-0.037573,-0.022571,-0.043537,finmind,2026-07-22T01:05:03.888571+08:00
2018-05,141814000,-0.218014,0.057761,-0.089866,finmind,2026-07-22T01:05:03.888571+08:00
2018-06,127490000,-0.358947,-0.101006,-0.15055,finmind,2026-07-22T01:05:03.888571+08:00
2018-07,141681000,-0.039164,0.111311,-0.134593,finmind,2026-07-22T01:05:03.888571+08:00
2018-08,128272000,-0.128859,-0.094642,-0.133876,finmind,2026-07-22T01:05:03.888571+08:00
2018-09,104669000,-0.160734,-0.184007,-0.13645,finmind,2026-07-22T01:05:03.888571+08:00
2018-10,128174000,0.198728,0.224565,-0.110999,finmind,2026-07-22T01:05:03.888571+08:00
2018-11,106904000,0.11939,-0.165946,-0.096367,finmind,2026-07-22T01:05:03.888571+08:00
2018-12,128123000,0.140737,0.198486,-0.079888,finmind,2026-07-22T01:05:03.888571+08:00
