revenue_month,revenue,yoy,mom,cumulative_yoy,source,fetched_at
2015-12,93582000,,,,finmind,2026-07-17T14:16:12.492342+08:00
2016-01,100312000,,0.071916,,finmind,2026-07-17T14:16:12.492342+08:00
2016-02,51928000,,-0.482335,,finmind,2026-07-17T14:16:12.492342+08:00
2016-03,103247000,,0.988272,,finmind,2026-07-17T14:16:12.492342+08:00
2016-04,91989000,,-0.109039,,finmind,2026-07-17T14:16:12.492342+08:00
2016-05,114939000,,0.249486,,finmind,2026-07-17T14:16:12.492342+08:00
2016-06,85933000,,-0.25236,,finmind,2026-07-17T14:16:12.492342+08:00
2016-07,63478000,,-0.261308,,finmind,2026-07-17T14:16:12.492342+08:00
2016-08,88007000,,0.386417,,finmind,2026-07-17T14:16:12.492342+08:00
2016-09,103121000,,0.171736,,finmind,2026-07-17T14:16:12.492342+08:00
2016-10,85428000,,-0.171575,,finmind,2026-07-17T14:16:12.492342+08:00
2016-11,91432000,,0.070281,,finmind,2026-07-17T14:16:12.492342+08:00
2016-12,147412000,0.575217,0.612258,,finmind,2026-07-17T14:16:12.492342+08:00
2017-01,101322000,0.010069,-0.312661,0.010069,finmind,2026-07-17T14:16:12.492342+08:00
2017-02,88453000,0.703378,-0.127011,0.246551,finmind,2026-07-17T14:16:12.492342+08:00
2017-03,98003000,-0.050791,0.107967,0.12639,finmind,2026-07-17T14:16:12.492342+08:00
2017-04,130660000,0.420387,0.333224,0.204221,finmind,2026-07-17T14:16:12.492342+08:00
2017-05,92683000,-0.193633,-0.290655,0.10533,finmind,2026-07-17T14:16:12.492342+08:00
2017-06,123893000,0.441739,0.336739,0.158049,finmind,2026-07-17T14:16:12.492342+08:00
2017-07,83929000,0.322175,-0.322569,0.175078,finmind,2026-07-17T14:16:12.492342+08:00
2017-08,137579000,0.563273,0.639231,0.223895,finmind,2026-07-17T14:16:12.492342+08:00
2017-09,99118000,-0.038818,-0.279556,0.190155,finmind,2026-07-17T14:16:12.492342+08:00
2017-10,90414000,0.058365,-0.087815,0.177482,finmind,2026-07-17T14:16:12.492342+08:00
2017-11,131731000,0.440754,0.456976,0.20205,finmind,2026-07-17T14:16:12.492342+08:00
2017-12,118558000,-0.195737,-0.099999,0.150029,finmind,2026-07-17T14:16:12.492342+08:00
2018-01,148192000,0.462585,0.249954,0.462585,finmind,2026-07-17T14:16:12.492342+08:00
2018-02,58634000,-0.337117,-0.604338,0.089849,finmind,2026-07-17T14:16:12.492342+08:00
2018-03,127342000,0.299368,1.171812,0.161201,finmind,2026-07-17T14:16:12.492342+08:00
2018-04,133005000,0.017947,0.044471,0.116469,finmind,2026-07-17T14:16:12.492342+08:00
2018-05,105601000,0.139378,-0.206037,0.120623,finmind,2026-07-17T14:16:12.492342+08:00
2018-06,95457000,-0.229521,-0.09606,0.052309,finmind,2026-07-17T14:16:12.492342+08:00
2018-07,117595000,0.401125,0.231916,0.09303,finmind,2026-07-17T14:16:12.492342+08:00
2018-08,117507000,-0.145894,-0.000748,0.054652,finmind,2026-07-17T14:16:12.492342+08:00
2018-09,121951000,0.230362,0.037819,0.072877,finmind,2026-07-17T14:16:12.492342+08:00
2018-10,122895000,0.359247,0.007741,0.097629,finmind,2026-07-17T14:16:12.492342+08:00
2018-11,138535000,0.051651,0.127263,0.092486,finmind,2026-07-17T14:16:12.492342+08:00
2018-12,137956000,0.163616,-0.004179,0.098992,finmind,2026-07-17T14:16:12.492342+08:00
2019-01,123829000,-0.164402,-0.102402,-0.164402,finmind,2026-07-17T14:16:12.492342+08:00
2019-02,87431000,0.491131,-0.293938,0.021438,finmind,2026-07-17T14:16:12.492342+08:00
2019-03,171887000,0.349806,0.965973,0.14657,finmind,2026-07-17T14:16:12.492342+08:00
2019-04,139110000,0.045901,-0.190689,0.117909,finmind,2026-07-17T14:16:12.492342+08:00
2019-05,163572000,0.548963,0.175846,0.197382,finmind,2026-07-17T14:16:12.492342+08:00
2019-06,151171000,0.583655,-0.075814,0.252561,finmind,2026-07-17T14:16:12.492342+08:00
2019-07,111603000,-0.050955,-0.261743,0.207141,finmind,2026-07-17T14:16:12.492342+08:00
2019-08,96257000,-0.18084,-0.137505,0.156672,finmind,2026-07-17T14:16:12.492342+08:00
2019-09,77054000,-0.368156,-0.199497,0.094247,finmind,2026-07-17T14:16:12.492342+08:00
2019-10,115175000,-0.062818,0.494731,0.077436,finmind,2026-07-17T14:16:12.492342+08:00
2019-11,91033000,-0.342888,-0.209611,0.032181,finmind,2026-07-17T14:16:12.492342+08:00
2019-12,154822000,0.122256,0.700724,0.040904,finmind,2026-07-17T14:16:12.492342+08:00
2020-01,71340000,-0.423883,-0.539213,-0.423883,finmind,2026-07-17T14:16:12.492342+08:00
2020-02,97086000,0.11043,0.360892,-0.202755,finmind,2026-07-17T14:16:12.492342+08:00
2020-03,83912000,-0.511819,-0.135694,-0.341407,finmind,2026-07-17T14:16:12.492342+08:00
2020-04,120521000,-0.133628,0.436278,-0.286062,finmind,2026-07-17T14:16:12.492342+08:00
2020-05,101210000,-0.381251,-0.160229,-0.308765,finmind,2026-07-17T14:16:12.492342+08:00
2020-06,145665000,-0.036422,0.439235,-0.259577,finmind,2026-07-17T14:16:12.492342+08:00
2020-07,107170000,-0.039721,-0.264271,-0.233711,finmind,2026-07-17T14:16:12.492342+08:00
2020-08,117983000,0.225708,0.100896,-0.191387,finmind,2026-07-17T14:16:12.492342+08:00
2020-09,68112000,-0.116048,-0.422696,-0.186213,finmind,2026-07-17T14:16:12.492342+08:00
2020-10,144714000,0.256471,1.124648,-0.144998,finmind,2026-07-17T14:16:12.492342+08:00
2020-11,124725000,0.370108,-0.138128,-0.109692,finmind,2026-07-17T14:16:12.492342+08:00
2020-12,164866000,0.064875,0.321836,-0.091467,finmind,2026-07-17T14:16:12.492342+08:00
2021-01,111654000,0.565097,-0.322759,0.565097,finmind,2026-07-17T14:16:12.492342+08:00
2021-02,56116000,-0.421997,-0.497412,-0.003895,finmind,2026-07-17T14:16:12.492342+08:00
2021-03,105507000,0.257353,0.880159,0.08298,finmind,2026-07-17T14:16:12.492342+08:00
2021-04,75896000,-0.370267,-0.280654,-0.063525,finmind,2026-07-17T14:16:12.492342+08:00
2021-05,80649000,-0.203152,0.062625,-0.093335,finmind,2026-07-17T14:16:12.492342+08:00
2021-06,95775000,-0.342498,0.187553,-0.151899,finmind,2026-07-17T14:16:12.492342+08:00
2021-07,56837000,-0.469656,-0.406557,-0.198747,finmind,2026-07-17T14:16:12.492342+08:00
2021-08,96361000,-0.183264,0.695392,-0.196585,finmind,2026-07-17T14:16:12.492342+08:00
2021-09,93815000,0.377364,-0.026421,-0.153767,finmind,2026-07-17T14:16:12.492342+08:00
2021-10,124742000,-0.13801,0.329659,-0.151611,finmind,2026-07-17T14:16:12.492342+08:00
2021-11,141636000,0.135586,0.135432,-0.121317,finmind,2026-07-17T14:16:12.492342+08:00
2021-12,162773000,-0.012695,0.149235,-0.108025,finmind,2026-07-17T14:16:12.492342+08:00
