date,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2015-01-05,72024,5730302,12.435084,13.657694,12.505841,13.657694,0.987303,50
2015-01-06,71220,5816656,13.091641,13.656049,13.132778,13.466816,-0.190878,38
2015-01-07,28950,2421827,13.438842,13.98515,13.443779,13.822245,0.355429,19
2015-01-08,35210,2949788,13.766298,13.98515,13.624784,13.738324,-0.083921,23
2015-01-09,6280,525057,13.786044,13.822245,13.624784,13.774525,0.036201,7
2015-01-12,26001,2182694,13.75807,13.899584,13.72516,13.899584,0.125059,16
2015-01-13,18005,1506927,13.814017,13.899584,13.73997,13.73997,-0.159614,11
2015-01-14,4011,330238,13.771234,13.713642,13.443779,13.493144,-0.246826,4
2015-01-15,7000,565000,13.547446,13.328593,13.164043,13.328593,-0.164551,4
2015-01-16,16010,1309052,13.280874,13.656049,13.297329,13.410869,0.082276,10
2015-01-19,8000,650140,13.453652,13.410869,13.328593,13.410869,0.0,4
2015-01-20,8000,653080,13.373022,13.491498,13.373022,13.376313,-0.034556,5
2015-01-21,1000,82000,13.433906,13.493144,13.493144,13.493144,0.116831,1
2015-01-22,3600,297768,13.493144,13.657694,13.374668,13.657694,0.16455,2
2015-01-23,18100,1516071,13.609975,13.856801,13.609975,13.65934,0.001646,10
2015-01-26,37000,3145300,13.782753,14.195775,13.822245,13.986796,0.327456,20
2015-01-27,5000,433010,13.988441,14.315897,14.151346,14.152992,0.166196,3
2015-01-28,12070,1025050,14.250076,14.151346,13.90452,13.986796,-0.166196,6
2015-01-29,0,0,84.93,14.151346,13.90452,13.986796,0.0,0
2015-01-30,0,0,84.93,14.151346,13.90452,13.986796,0.0,0
2015-02-02,10000,846750,13.975277,13.986796,13.863383,13.863383,-0.123413,4
2015-02-03,0,0,84.68,13.986796,13.863383,13.863383,0.0,0
2015-02-04,1000,85090,13.934139,14.001605,14.001605,14.001605,0.138222,1
2015-02-05,20,1701,14.001605,14.001605,14.001605,14.001605,0.0,1
2015-02-06,20,1699,14.001605,13.98515,13.98515,13.98515,-0.016455,1
2015-02-09,18001,1527244,13.98515,13.986796,13.90452,13.98515,0.0,9
