date,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2015-01-05,136000,4161100,21.785577,21.785577,21.608459,21.643882,-0.177119,70
2015-01-06,116005,3513001,21.537611,21.537611,21.395916,21.466764,-0.177118,48
2015-01-07,29000,880700,21.466764,21.573035,21.466764,21.537611,0.070847,13
2015-01-08,60000,1830950,21.573035,21.750153,21.502188,21.537611,0.0,33
2015-01-09,100508,3052042,21.679306,21.679306,21.466764,21.643882,0.106271,33
2015-01-12,201559,6120258,21.608459,21.679306,21.466764,21.466764,-0.177118,68
2015-01-13,113700,3445669,21.395916,21.537611,21.395916,21.466764,0.0,45
2015-01-14,249550,7558182,21.43134,21.502188,21.43134,21.466764,0.0,48
2015-01-15,66000,2001550,21.43134,21.573035,21.43134,21.573035,0.106271,15
2015-01-16,154500,4666423,21.466764,21.466764,21.325069,21.395916,-0.177119,63
2015-01-19,85678,2589207,21.537611,21.537611,21.325069,21.466764,0.070848,35
2015-01-20,75250,2282975,21.466764,21.537611,21.43134,21.43134,-0.035424,22
2015-01-21,110131,3331775,21.395916,21.573035,21.395916,21.573035,0.141695,44
2015-01-22,96000,2914200,21.573035,21.573035,21.466764,21.502188,-0.070847,35
2015-01-23,71850,2182584,21.502188,21.573035,21.466764,21.466764,-0.035424,41
2015-01-26,211100,6382719,21.466764,21.466764,21.360493,21.360493,-0.106271,52
2015-01-27,248700,7521760,21.395916,21.466764,21.395916,21.43134,0.070847,76
2015-01-28,33005,996651,21.43134,21.43134,21.360493,21.43134,0.0,16
2015-01-29,35300,1067309,21.395916,21.573035,21.360493,21.466764,0.035424,26
2015-01-30,81921,2502071,21.43134,21.71473,21.43134,21.466764,0.0,25
2015-02-02,41500,1257500,21.466764,21.608459,21.395916,21.502188,0.035424,26
2015-02-03,137006,4127530,21.395916,21.502188,21.289645,21.395916,-0.106272,63
2015-02-04,23334,703470,21.395916,21.395916,21.325069,21.360493,-0.035423,20
2015-02-05,5150,155259,21.360493,21.360493,21.325069,21.325069,-0.035424,6
2015-02-06,49000,1473200,21.395916,21.395916,21.254222,21.360493,0.035424,22
2015-02-09,19050,573410,21.325069,21.325069,21.325069,21.325069,-0.035424,16
2015-02-10,60068,1812540,21.325069,21.43134,21.325069,21.395916,0.070847,43
2015-02-11,14000,421500,21.360493,21.360493,21.325069,21.325069,-0.070847,8
2015-02-12,100000,2989950,21.254222,21.289645,21.077103,21.218798,-0.106271,49
2015-02-13,86000,2565850,21.112527,21.218798,21.112527,21.147951,-0.070847,41
2015-02-24,68010,2030150,21.183374,21.218798,21.112527,21.112527,-0.035424,34
2015-02-25,73864,2199273,21.077103,21.112527,21.077103,21.112527,0.0,44
2015-02-26,9000,268750,21.112527,21.218798,21.112527,21.218798,0.106271,8
2015-03-02,25850,772695,21.147951,21.218798,21.077103,21.183374,-0.035424,14
2015-03-03,51000,1528900,21.183374,21.254222,21.183374,21.218798,0.035424,19
2015-03-04,53250,1598425,21.254222,21.395916,21.218798,21.254222,0.035424,29
2015-03-05,440100,13256274,21.254222,21.43134,21.254222,21.360493,0.106271,107
2015-03-06,129850,3918900,21.360493,21.43134,21.360493,21.395916,0.035423,49
2015-03-09,447241,13642572,21.466764,21.821001,21.43134,21.608459,0.212543,241
2015-03-10,273100,8292420,21.608459,21.608459,21.325069,21.360493,-0.247966,61
2015-03-11,140150,4190972,21.395916,21.395916,21.112527,21.183374,-0.177119,74
2015-03-12,78300,2342610,21.183374,21.254222,21.147951,21.218798,0.035424,34
2015-03-13,70300,2104169,21.183374,21.254222,21.183374,21.183374,-0.035424,30
2015-03-16,126650,3777889,21.183374,21.183374,21.077103,21.077103,-0.106271,52
2015-03-17,128001,3798279,21.218798,21.218798,20.899985,20.935408,-0.141695,65
2015-03-18,172450,5104574,20.935408,21.041679,20.899985,21.006256,0.070848,75
2015-03-19,186000,5508000,20.970832,21.006256,20.899985,21.006256,0.0,68
2015-03-20,126113,3725171,21.006256,21.006256,20.829137,20.970832,-0.035424,59
2015-03-23,157800,4633350,20.970832,20.970832,20.722866,20.722866,-0.247966,91
2015-03-24,116000,3440950,20.970832,21.112527,20.75829,20.75829,0.035424,50
2015-03-25,31001,909729,20.829137,20.829137,20.75829,20.829137,0.070847,20
2015-03-26,72025,2115832,20.829137,20.829137,20.722866,20.793714,-0.035423,51
2015-03-27,143000,4161900,20.793714,20.793714,20.4749,20.687442,-0.106272,83
2015-03-30,61160,1784070,20.687442,20.722866,20.581171,20.722866,0.035424,41
2015-03-31,60001,1746429,20.722866,20.722866,20.545748,20.616595,-0.106271,39
2015-04-01,53340,1546126,20.616595,20.616595,20.4749,20.545748,-0.070847,35
2015-04-02,140000,4072800,20.545748,20.687442,20.545748,20.616595,0.070847,21
2015-04-07,62831,1828215,20.616595,20.616595,20.616595,20.616595,0.0,24
2015-04-08,116710,3373954,20.616595,20.616595,20.404053,20.510324,-0.106271,45
2015-04-09,149500,4335250,20.545748,20.581171,20.510324,20.581171,0.070847,43
2015-04-10,54565,1585285,20.652019,20.652019,20.581171,20.581171,0.0,27
2015-04-13,105000,3062100,20.616595,20.793714,20.545748,20.75829,0.177119,57
2015-04-14,58918,1737276,20.75829,20.970832,20.75829,20.970832,0.212542,43
2015-04-15,209700,6249300,21.041679,21.218798,20.829137,21.041679,0.070847,126
2015-04-16,95241,2815282,21.041679,21.041679,20.864561,20.935408,-0.106271,55
2015-04-17,87152,2583578,20.935408,21.147951,20.899985,21.147951,0.212543,69
2015-04-20,48004,1413418,21.112527,21.112527,20.722866,21.006256,-0.141695,36
2015-04-21,38700,1138459,20.864561,21.006256,20.722866,20.793714,-0.212542,24
2015-04-22,40000,1177450,20.75829,20.935408,20.75829,20.864561,0.070847,17
2015-04-23,133424,3976954,20.864561,21.360493,20.864561,21.218798,0.354237,110
2015-04-24,134400,4027359,21.218798,21.325069,21.077103,21.218798,0.0,107
2015-04-27,164501,4946078,21.218798,21.466764,21.183374,21.325069,0.106271,98
2015-04-28,180969,5473163,21.325069,21.573035,21.112527,21.466764,0.141695,121
2015-04-29,224128,6816859,21.466764,21.679306,21.360493,21.573035,0.106271,169
2015-04-30,150067,4586453,21.643882,21.750153,21.43134,21.71473,0.141695,126
2015-05-04,45276,1379745,21.71473,21.71473,21.502188,21.679306,-0.035424,36
2015-05-05,49000,1495150,21.679306,21.71473,21.502188,21.679306,0.0,35
2015-05-06,115002,3511510,21.679306,21.71473,21.466764,21.71473,0.035424,95
2015-05-07,145524,4453032,21.679306,21.785577,21.608459,21.608459,-0.106271,109
2015-05-08,178000,5424050,21.573035,21.643882,21.466764,21.643882,0.035423,134
2015-05-11,224000,6812750,21.643882,21.643882,21.43134,21.466764,-0.177118,153
2015-05-12,254002,7641911,21.466764,21.466764,21.183374,21.395916,-0.070848,180
2015-05-13,157000,4723600,21.395916,21.395916,21.254222,21.360493,-0.035423,104
2015-05-14,148750,4446524,21.289645,21.325069,21.041679,21.183374,-0.177119,113
2015-05-15,113153,3362001,21.218798,21.218798,20.899985,20.899985,-0.283389,76
2015-05-18,176000,5147000,20.899985,20.899985,20.545748,20.722866,-0.177119,105
2015-05-19,73283,2139763,20.616595,20.829137,20.616595,20.793714,0.070848,56
2015-05-20,65000,1897300,20.793714,20.793714,20.616595,20.75829,-0.035424,45
2015-05-21,147029,4245693,20.581171,20.581171,20.333205,20.545748,-0.212542,82
2015-05-22,59000,1707900,20.722866,20.722866,20.404053,20.616595,0.070847,37
2015-05-25,75150,2161755,20.687442,20.687442,20.333205,20.333205,-0.28339,70
2015-05-26,48982,1408337,20.333205,20.439476,20.333205,20.333205,0.0,39
2015-05-27,34056,978148,20.616595,20.616595,20.297782,20.333205,0.0,21
2015-05-28,82134,2352132,20.545748,20.545748,20.262358,20.262358,-0.070847,43
2015-05-29,54000,1546100,20.368629,20.368629,20.262358,20.262358,0.0,28
2015-06-01,26000,744150,20.333205,20.404053,20.226934,20.297782,0.035424,14
2015-06-02,60265,1718421,20.262358,20.333205,20.156087,20.156087,-0.141695,49
2015-06-03,94009,2661304,20.156087,20.191511,19.978968,20.049816,-0.106271,58
2015-06-04,222600,6295150,20.049816,20.297782,19.872697,19.872697,-0.177119,145
2015-06-05,254500,7111424,19.908121,20.014392,19.624731,19.624731,-0.247966,131
2015-06-08,59000,1629100,19.80185,19.80185,19.483037,19.553884,-0.070847,39
2015-06-09,69000,1883600,19.553884,19.553884,19.199647,19.412189,-0.141695,37
2015-06-10,60000,1648450,19.553884,19.660155,19.270494,19.660155,0.247966,32
2015-06-11,129000,3533450,19.447613,19.553884,19.270494,19.447613,-0.212542,88
2015-06-12,52200,1434480,19.660155,19.660155,19.376765,19.51846,0.070847,40
2015-06-15,48162,1336134,19.412189,19.943545,19.412189,19.872697,0.354237,33
2015-06-16,36000,1001850,19.943545,19.943545,19.624731,19.660155,-0.212542,30
2015-06-17,202000,5531800,19.624731,19.731002,19.270494,19.695579,0.035424,153
2015-06-18,360000,9743200,19.660155,19.660155,18.987105,19.483037,-0.212542,176
2015-06-22,99000,2730400,19.695579,19.872697,19.483037,19.483037,0.0,46
2015-06-23,112451,3072089,19.553884,19.553884,19.305918,19.305918,-0.177119,52
2015-06-24,189800,5184639,19.412189,19.447613,19.270494,19.447613,0.141695,48
2015-06-25,15000,410550,19.270494,19.483037,19.270494,19.483037,0.035424,11
2015-06-26,74653,2030631,19.624731,19.624731,19.199647,19.270494,-0.212543,34
2015-06-29,106001,2861026,19.128799,19.270494,18.987105,18.987105,-0.283389,47
2015-06-30,39003,1057781,18.987105,19.447613,18.987105,19.376765,0.38966,24
2015-07-01,36070,982654,19.412189,19.412189,19.199647,19.376765,0.0,20
2015-07-02,58850,1595815,19.341342,19.341342,19.128799,19.199647,-0.177118,33
2015-07-03,111000,2985450,19.164223,19.164223,18.987105,19.022528,-0.177119,59
2015-07-06,62001,1659076,19.128799,19.128799,18.880834,18.880834,-0.141694,24
2015-07-07,25484,687619,18.916257,19.235071,18.916257,19.128799,0.247965,18
2015-07-08,108072,2881871,19.093376,19.199647,18.809986,18.880834,-0.247965,64
2015-07-09,129750,3478912,19.128799,19.305918,18.774562,19.093376,0.212542,62
2015-07-13,19000,515100,19.093376,19.341342,19.093376,19.270494,0.177118,16
2015-07-14,106000,2899400,19.270494,19.412189,19.199647,19.412189,0.141695,64
2015-07-15,55901,1517586,19.483037,19.483037,19.128799,19.199647,-0.212542,48
2015-07-16,43164,1168184,19.199647,19.270494,19.093376,19.199647,0.0,26
2015-07-17,219651,6005489,19.483037,19.589308,19.093376,19.447613,0.247966,107
2015-07-20,103015,2757652,19.525685,19.817113,19.307114,19.562113,0.1145,63
2015-07-21,117000,3155700,19.562113,19.744256,19.562113,19.598542,0.036429,56
2015-07-22,61731,1664040,19.671399,19.707828,19.598542,19.671399,0.072857,30
2015-07-23,47010,1269120,19.707828,19.744256,19.598542,19.744256,0.072857,33
2015-07-24,13000,351500,19.744256,19.744256,19.598542,19.598542,-0.145714,10
2015-07-27,96200,2547189,19.343542,19.489256,19.088543,19.197828,-0.400714,55
2015-07-28,51000,1347400,19.088543,19.452828,19.088543,19.452828,0.255,42
2015-07-29,43001,1146676,19.598542,19.598542,19.307114,19.562113,0.109285,26
2015-07-30,37850,1022285,19.525685,19.926399,19.525685,19.926399,0.364286,29
2015-07-31,80200,2152359,19.63497,19.88997,19.307114,19.307114,-0.619285,44
2015-08-03,35000,926150,19.343542,19.416399,19.197828,19.307114,0.0,30
2015-08-04,45550,1205315,19.307114,19.379971,19.197828,19.343542,0.036428,28
2015-08-05,75000,2021750,19.307114,19.962827,19.270685,19.707828,0.364286,52
2015-08-06,49133,1323747,19.926399,19.926399,19.452828,19.671399,-0.036429,30
2015-08-07,53000,1412950,19.452828,19.671399,19.307114,19.671399,0.0,28
2015-08-10,27000,727450,19.671399,19.817113,19.452828,19.671399,0.0,19
2015-08-11,83028,2212328,19.525685,19.63497,19.234257,19.343542,-0.327857,72
2015-08-12,59000,1559350,19.562113,19.562113,19.124971,19.343542,0.0,27
2015-08-13,10000,268350,19.489256,19.562113,19.489256,19.562113,0.218571,8
2015-08-14,3000,80550,19.598542,19.598542,19.489256,19.489256,-0.072857,3
2015-08-17,28000,748350,19.63497,19.63497,19.343542,19.416399,-0.072857,16
2015-08-18,82000,2174350,19.307114,19.416399,19.307114,19.343542,-0.072857,32
2015-08-19,126350,3273467,19.270685,19.307114,18.214258,18.542115,-0.801427,99
2015-08-20,38000,972250,18.797115,18.942829,18.505686,18.833543,0.291428,30
2015-08-21,152750,3786348,18.760686,18.760686,17.92283,17.995687,-0.837856,69
2015-08-24,342000,7828850,17.485688,18.578544,16.319975,16.902832,-1.092855,134
2015-08-25,96341,2144943,15.372834,17.012117,15.372834,16.793546,-0.109286,68
