date,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2015-01-05,518500,25201150,23.775843,24.546012,23.775843,24.347259,0.571416,251
2015-01-06,344391,16544001,24.29757,24.29757,23.57709,24.17335,-0.173909,248
2015-01-07,296405,14166378,24.17335,24.17335,23.527402,23.651623,-0.521727,201
2015-01-08,189085,9131666,23.800688,24.347259,23.750999,23.775843,0.12422,124
2015-01-09,138000,6614300,24.198194,24.198194,23.601934,23.775843,0.0,96
2015-01-12,225395,10700762,23.750999,24.098817,23.254117,23.800688,0.024845,179
2015-01-13,135122,6409412,23.775843,23.825532,23.378337,23.477714,-0.322974,101
2015-01-14,188100,8927745,23.45287,23.949752,23.403181,23.45287,-0.024844,135
2015-01-15,112200,5289000,23.254117,23.701311,23.254117,23.45287,0.0,80
2015-01-16,252625,11927881,23.651623,23.651623,23.204428,23.204428,-0.248442,171
2015-01-19,179600,8403320,23.353493,23.502558,23.105052,23.105052,-0.099376,102
2015-01-20,173730,8143989,23.353493,23.403181,23.229272,23.353493,0.248441,107
2015-01-21,2229615,110316258,23.651623,24.943518,23.552246,24.247882,0.894389,1327
2015-01-22,553775,27037453,24.098817,24.496324,23.949752,24.098817,-0.149065,378
2015-01-23,258044,12502117,24.247882,24.347259,23.924908,23.924908,-0.173909,192
2015-01-26,279804,13323640,23.850376,23.850376,23.527402,23.601934,-0.322974,199
2015-01-27,191520,9120700,23.601934,23.825532,23.601934,23.701311,0.099377,101
2015-01-28,489000,22953100,23.403181,23.552246,23.204428,23.403181,-0.29813,391
2015-01-29,147400,6925450,23.403181,23.527402,23.254117,23.353493,-0.049688,92
2015-01-30,248075,11752632,23.601934,23.825532,23.303805,23.403181,0.049688,205
2015-02-02,210000,9872100,23.601934,23.676467,23.204428,23.204428,-0.198753,140
2015-02-03,249500,11706950,23.378337,23.651623,23.105052,23.15474,-0.049688,171
2015-02-04,173750,8114510,23.254117,23.403181,23.030519,23.030519,-0.124221,107
2015-02-05,172100,7961369,23.229272,23.229272,22.881454,22.955987,-0.074532,121
2015-02-06,283300,12968559,22.85661,22.955987,22.508792,22.831766,-0.124221,178
2015-02-09,253200,11548200,22.831766,23.105052,22.459104,22.707545,-0.124221,164
2015-02-10,163025,7453790,22.657857,22.831766,22.657857,22.657857,-0.049688,93
2015-02-11,206700,9508729,22.757234,23.005675,22.757234,22.85661,0.198753,144
2015-02-12,199526,9132290,22.980831,22.980831,22.608169,22.707545,-0.149065,107
2015-02-13,147300,6748550,22.707545,22.931143,22.707545,22.757234,0.049689,85
2015-02-24,123100,5632310,22.757234,22.85661,22.633013,22.657857,-0.099377,83
2015-02-25,104575,4751802,22.608169,22.757234,22.459104,22.682701,0.024844,86
2015-02-26,75100,3416370,22.608169,22.806922,22.43426,22.657857,-0.024844,57
2015-03-02,139000,6289350,22.707545,22.707545,22.409416,22.459104,-0.198753,114
2015-03-03,214500,9734973,22.459104,22.73239,22.459104,22.508792,0.049688,142
2015-03-04,228801,10326845,22.508792,22.608169,22.334883,22.359727,-0.149065,145
2015-03-05,188263,8375925,22.160974,22.260351,22.011909,22.061598,-0.298129,153
2015-03-06,153037,6876065,22.061598,22.558481,22.061598,22.409416,0.347818,120
2015-03-09,161150,7219862,22.409416,22.409416,22.160974,22.334883,-0.074533,114
2015-03-10,192200,8638650,22.111286,22.459104,22.111286,22.359727,0.024844,126
2015-03-11,109450,4895777,22.260351,22.334883,22.13613,22.185818,-0.173909,95
2015-03-12,130000,5827950,22.185818,22.409416,22.185818,22.384572,0.198754,110
2015-03-13,752300,34814059,22.384572,23.229272,22.384572,22.85661,0.472038,494
2015-03-16,330609,15315692,23.055363,23.254117,22.85661,22.85661,0.0,197
2015-03-17,206569,9534816,22.980831,23.080208,22.782078,22.831766,-0.024844,133
2015-03-18,106531,4904680,22.980831,22.980831,22.73239,22.73239,-0.099376,77
2015-03-19,264925,12288800,22.757234,23.278961,22.757234,23.005675,0.273285,187
2015-03-20,184175,8456247,22.906299,22.906299,22.757234,22.782078,-0.223597,119
2015-03-23,133600,6133690,22.831766,23.005675,22.757234,22.757234,-0.024844,94
2015-03-24,224950,10235755,22.782078,22.782078,22.459104,22.459104,-0.29813,140
2015-03-25,340886,15214498,22.459104,22.508792,22.011909,22.011909,-0.447195,229
2015-03-26,147200,6461560,21.813156,21.937377,21.763468,21.887689,-0.12422,122
2015-03-27,186600,8242595,21.912533,22.061598,21.813156,21.862845,-0.024844,123
2015-03-30,349219,14968555,21.862845,21.862845,21.042988,21.11752,-0.745325,223
2015-03-31,386900,16181633,21.11752,21.11752,20.471573,20.670326,-0.447194,267
2015-04-01,169325,6971375,20.421884,20.595793,20.372196,20.39704,-0.273286,131
2015-04-02,181900,7541969,20.39704,20.794546,20.297664,20.620638,0.223598,124
2015-04-07,171436,7066713,20.620638,20.620638,20.372196,20.496417,-0.124221,109
2015-04-08,196500,8231099,20.496417,20.968455,20.496417,20.769702,0.273285,138
2015-04-09,311900,13321179,21.11752,21.41565,20.968455,21.142364,0.372662,188
2015-04-10,131649,5639502,21.192053,21.564715,21.167209,21.167209,0.024845,110
2015-04-13,272300,11648734,21.216897,21.41565,21.216897,21.216897,0.049688,102
2015-04-14,55521,2372191,21.365962,21.365962,21.142364,21.167209,-0.049688,43
2015-04-15,262239,11100838,21.167209,21.216897,20.844235,20.844235,-0.322974,112
2015-04-16,57001,2403742,20.844235,21.067832,20.844235,20.943611,0.099376,45
2015-04-17,69900,2941528,20.869079,21.067832,20.869079,20.869079,-0.074532,66
2015-04-20,75375,3142130,20.869079,20.869079,20.546105,20.744858,-0.124221,65
2015-04-21,172300,7234330,20.744858,21.067832,20.720014,20.744858,0.0,119
2015-04-22,84470,3519228,20.744858,20.769702,20.546105,20.670326,-0.074532,68
2015-04-23,188750,8028500,20.670326,21.365962,20.670326,21.11752,0.447194,137
2015-04-24,142325,6008147,20.869079,21.266585,20.844235,21.092676,-0.024844,113
2015-04-27,85300,3634640,21.216897,21.316273,21.018144,21.067832,-0.024844,67
