date,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2015-01-05,81600,2731140,17.487093,17.617789,17.356397,17.617789,0.104557,65
2015-01-06,148360,4909989,17.356397,17.460954,17.147284,17.173423,-0.444366,107
2015-01-07,443215,14592102,17.147284,17.617789,16.96431,17.513232,0.339809,265
2015-01-08,152440,5076661,17.513232,17.565511,17.304119,17.304119,-0.209113,110
2015-01-09,160367,5315790,17.408676,17.513232,17.199563,17.199563,-0.104556,112
2015-01-12,130932,4281191,17.199563,17.199563,17.016588,17.016588,-0.182975,90
2015-01-13,76371,2494662,16.990449,17.147284,16.990449,17.068867,0.052279,55
2015-01-14,181410,5891316,17.147284,17.173423,16.912032,16.912032,-0.156835,122
2015-01-15,115741,3763493,16.938171,17.199563,16.912032,16.990449,0.078417,90
2015-01-16,287879,9255202,16.990449,17.121145,16.702919,16.702919,-0.28753,166
2015-01-19,183605,5875247,16.755197,16.96431,16.598362,16.598362,-0.104557,125
2015-01-20,142705,4580923,16.676779,16.885893,16.598362,16.781336,0.182974,88
2015-01-21,114918,3680040,16.885893,16.885893,16.676779,16.676779,-0.104557,81
2015-01-22,150700,4860592,16.729058,16.96431,16.729058,16.912032,0.235253,99
2015-01-23,979474,32245388,16.912032,17.382537,16.912032,17.382537,0.470505,571
2015-01-26,693480,23312785,17.487093,17.722346,17.408676,17.434815,0.052278,382
2015-01-27,209693,6946796,17.513232,17.565511,17.225702,17.251841,-0.182974,133
2015-01-28,124681,4097585,17.199563,17.225702,17.147284,17.147284,-0.104557,94
2015-01-29,125684,4114551,17.147284,17.225702,17.068867,17.173423,0.026139,70
2015-01-30,434468,14462336,17.199563,17.487093,17.199563,17.434815,0.261392,238
2015-02-02,250103,8286112,17.408676,17.408676,17.27798,17.330258,-0.104557,99
2015-02-03,1075531,35996437,17.304119,17.617789,17.304119,17.59165,0.261392,272
2015-02-04,1312431,44337065,17.722346,18.009876,17.539372,17.565511,-0.026139,415
2015-02-05,2522419,86304829,17.59165,18.611077,17.147284,18.611077,1.045566,1045
2015-02-06,2234264,80721433,18.611077,19.238416,18.50652,19.107721,0.496644,1300
2015-02-09,2195681,81289356,19.107721,19.578225,18.872468,19.342973,0.235252,1113
2015-02-10,2466644,93204956,19.238416,20.127148,19.186138,19.473669,0.130696,1073
2015-02-11,3800359,148073742,19.499808,20.832905,19.421391,20.832905,1.359236,1691
2015-02-12,3476396,141523398,21.120435,21.538662,20.98974,21.224992,0.392087,1882
2015-02-13,2698060,105273198,21.224992,21.224992,20.022591,20.022591,-1.202401,1384
