date,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2015-01-05,435606,5144749,8.716634,8.753259,8.606761,8.643386,0.0,131
2015-01-06,808000,9593800,8.716634,8.789883,8.570136,8.606761,-0.036625,306
2015-01-07,285509,3367929,8.606761,8.716634,8.606761,8.643386,0.036625,110
2015-01-08,4195697,51412447,8.716634,9.119504,8.716634,8.973006,0.32962,1265
2015-01-09,3389176,42387211,9.119504,9.302627,9.00963,9.046255,0.073249,916
2015-01-12,2458814,31088090,9.156129,9.485749,9.046255,9.156129,0.109874,705
2015-01-13,1308662,16355075,9.229377,9.339251,9.046255,9.08288,-0.073249,405
2015-01-14,1058012,13003742,9.08288,9.119504,8.863133,8.863133,-0.219747,323
2015-01-15,883500,10702749,8.826508,8.936381,8.826508,8.863133,0.0,264
2015-01-16,919401,11052662,8.863133,8.899757,8.716634,8.716634,-0.146499,275
2015-01-19,585979,6964902,8.789883,8.826508,8.643386,8.716634,0.0,155
2015-01-20,3428821,42792311,8.716634,9.302627,8.716634,9.192753,0.476119,1031
2015-01-21,2215878,27861354,9.156129,9.375876,9.00963,9.00963,-0.183123,700
2015-01-22,1423757,17641359,9.046255,9.229377,8.973006,9.046255,0.036625,383
2015-01-23,1527449,18778453,9.119504,9.156129,8.863133,8.899757,-0.146498,353
2015-01-26,2793929,34455368,8.899757,9.156129,8.753259,9.119504,0.219747,764
2015-01-27,3657379,46357072,9.156129,9.4125,9.156129,9.266002,0.146498,1115
2015-01-28,604487,7598086,9.229377,9.302627,9.119504,9.119504,-0.146498,263
2015-01-29,682397,8536151,9.00963,9.302627,9.00963,9.119504,0.0,225
2015-01-30,1066325,13134529,9.156129,9.156129,8.936381,8.973006,-0.146498,492
2015-02-02,621879,7571748,8.973006,9.046255,8.863133,8.899757,-0.073249,302
2015-02-03,550450,6680570,8.936381,8.973006,8.826508,8.826508,-0.073249,249
2015-02-04,1559355,19223130,8.899757,9.119504,8.863133,8.973006,0.146498,549
2015-02-05,499940,6110010,9.00963,9.00963,8.899757,9.00963,0.036624,169
2015-02-06,1569881,19746515,9.08288,9.375876,9.00963,9.119504,0.109874,574
2015-02-09,3972969,51233397,9.119504,9.632247,9.08288,9.4125,0.292996,1341
2015-02-10,1988783,25660073,9.522374,9.632247,9.229377,9.229377,-0.183123,669
2015-02-11,1718556,21394084,9.339251,9.339251,8.936381,9.00963,-0.219747,492
2015-02-12,409439,5049949,9.046255,9.119504,8.973006,9.00963,0.0,178
2015-02-13,568646,7020844,9.046255,9.156129,9.00963,9.00963,0.0,203
2015-02-24,1679981,21999244,9.302627,9.632247,9.229377,9.632247,0.622617,483
2015-02-25,4425335,59048369,9.998492,9.998492,9.449125,9.522374,-0.109873,1421
2015-02-26,2400119,31580397,9.522374,9.778745,9.522374,9.558998,0.036624,800
2015-03-02,1220460,15966956,9.668872,9.705496,9.522374,9.522374,-0.036624,335
2015-03-03,1259314,16319417,9.595623,9.595623,9.375876,9.4125,-0.109874,386
2015-03-04,1033999,13370386,9.4125,9.595623,9.375876,9.485749,0.073249,309
2015-03-05,846898,11103774,9.595623,9.668872,9.522374,9.558998,0.073249,331
2015-03-06,1718074,22863180,9.632247,9.888619,9.558998,9.778745,0.219747,584
2015-03-09,3860960,53024003,9.961868,10.181615,9.961868,10.035117,0.256372,1144
2015-03-10,1669354,22534370,10.108366,10.108366,9.778745,9.778745,-0.256372,503
2015-03-11,755650,10019126,9.668872,9.81537,9.632247,9.742121,-0.036624,284
2015-03-12,849847,11339426,9.778745,9.851994,9.668872,9.705496,-0.036625,286
2015-03-13,950215,12604014,9.778745,9.851994,9.668872,9.668872,-0.036624,276
2015-03-16,851984,11245489,9.668872,9.742121,9.595623,9.668872,0.0,249
2015-03-17,1015323,13322178,9.705496,9.81537,9.522374,9.522374,-0.146498,381
2015-03-18,542243,7097809,9.558998,9.668872,9.558998,9.558998,0.036624,233
2015-03-19,1282316,16835258,9.595623,9.742121,9.522374,9.522374,-0.036624,364
2015-03-20,1167666,15195017,9.522374,9.595623,9.485749,9.485749,-0.036625,357
2015-03-23,1780579,23331797,9.558998,9.705496,9.485749,9.485749,0.0,747
2015-03-24,574758,7513063,9.522374,9.668872,9.522374,9.522374,0.036625,804
