date,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2015-01-05,100060,6999004,39.832363,39.832363,39.380364,39.606363,0.0,88
2015-01-06,87321,6098898,39.662863,39.662863,39.380364,39.493364,-0.112999,57
2015-01-07,33177,2316807,39.493364,39.719363,39.380364,39.549864,0.0565,24
2015-01-08,62050,4336333,39.549864,39.719363,39.380364,39.549864,0.0,52
2015-01-09,40441,2843901,39.719363,39.775863,39.662863,39.662863,0.112999,32
2015-01-12,95029,6752275,39.719363,40.340861,39.662863,40.227861,0.564998,90
2015-01-13,32170,2281036,39.832363,40.227861,39.832363,39.945362,-0.282499,27
2015-01-14,26100,1840900,39.945362,39.945362,39.775863,39.832363,-0.112999,23
2015-01-15,52131,3685386,39.832363,40.114862,39.832363,40.058362,0.225999,40
2015-01-16,147160,10380160,40.171361,40.397361,39.549864,40.227861,0.169499,102
2015-01-19,40080,2832928,40.114862,40.114862,39.775863,40.058362,-0.169499,32
2015-01-20,889571,60985599,40.058362,40.058362,38.193868,38.306868,-1.751494,549
2015-01-21,370150,25913175,39.549864,39.775863,39.380364,39.719363,1.412495,268
2015-01-22,75000,5286100,39.832363,39.888862,39.719363,39.832363,0.113,69
2015-01-23,68080,4795844,39.832363,39.832363,39.719363,39.832363,0.0,51
2015-01-26,51501,3643919,40.001862,40.058362,39.832363,39.888862,0.056499,40
2015-01-27,61041,4310011,39.832363,40.058362,39.832363,39.888862,0.0,45
2015-01-28,43050,3043038,39.888862,40.001862,39.832363,39.832363,-0.056499,38
2015-01-29,59000,4169900,39.888862,40.058362,39.888862,40.001862,0.169499,47
2015-01-30,54654,3867691,40.001862,40.058362,39.888862,39.945362,-0.0565,30
2015-02-02,80531,5701039,39.832363,40.114862,39.832363,40.058362,0.113,62
2015-02-03,97298,6933045,40.114862,40.397361,39.888862,40.284361,0.225999,67
2015-02-04,53365,3804945,40.284361,40.397361,40.227861,40.340861,0.0565,47
2015-02-05,40569,2885867,40.397361,40.397361,40.114862,40.227861,-0.113,34
2015-02-06,43420,3102828,40.397361,40.397361,40.227861,40.397361,0.1695,39
2015-02-09,33056,2355865,40.397361,40.397361,40.171361,40.171361,-0.226,28
2015-02-10,123001,8744971,40.114862,40.340861,39.945362,40.001862,-0.169499,90
2015-02-11,32300,2301300,40.340861,40.340861,40.114862,40.284361,0.282499,23
2015-02-12,46453,3316244,40.114862,40.397361,40.114862,40.340861,0.0565,40
2015-02-13,102550,7336200,40.397361,40.51036,40.340861,40.45386,0.112999,41
2015-02-24,87714,6311819,40.45386,40.792859,40.45386,40.67986,0.226,81
2015-02-25,68292,4923039,40.962359,40.962359,40.56686,40.62336,-0.0565,57
2015-02-26,85726,6146180,40.62336,40.62336,40.397361,40.62336,0.0,68
2015-03-02,95314,6856708,40.849359,40.849359,40.45386,40.67986,0.0565,62
2015-03-03,245719,17765854,40.849359,41.244858,40.51036,41.131858,0.451998,117
2015-03-04,293726,21773373,40.962359,42.487853,40.905859,42.205354,1.073496,201
2015-03-05,259810,19281714,42.318354,42.374854,41.696856,41.809856,-0.395498,126
2015-03-06,119693,8893096,41.809856,42.205354,41.809856,42.148855,0.338999,84
2015-03-09,128071,9577525,41.866356,42.487853,41.866356,42.374854,0.225999,83
2015-03-10,213301,16084562,42.374854,42.883352,42.374854,42.544353,0.169499,112
2015-03-11,307300,22764989,42.092355,42.148855,41.244858,41.809856,-0.734497,177
2015-03-12,85518,6377689,41.809856,42.318354,41.809856,42.318354,0.508498,75
2015-03-13,158021,11853885,42.544353,42.544353,42.148855,42.261854,-0.0565,90
2015-03-16,139339,10427025,42.374854,42.487853,41.979355,42.374854,0.113,103
2015-03-17,64560,4837118,42.374854,42.431354,42.261854,42.318354,-0.0565,53
2015-03-18,80637,6006906,41.809856,42.374854,41.809856,42.035855,-0.282499,74
2015-03-19,112449,8433575,42.374854,42.600853,42.092355,42.544353,0.508498,79
2015-03-20,776795,61935191,44.747846,45.482343,44.069848,45.312844,2.768491,537
2015-03-23,316818,25497161,45.764842,45.764842,45.086844,45.425843,0.112999,240
2015-03-24,254662,20241888,45.425843,45.482343,44.352347,45.199844,-0.225999,203
2015-03-25,95187,7578160,45.199844,45.199844,44.691346,44.973845,-0.225999,65
2015-03-26,271016,21663480,44.804345,45.312844,44.804345,45.199844,0.225999,149
2015-03-27,116415,9274482,45.199844,45.199844,44.634846,45.199844,0.0,89
2015-03-30,71060,5671035,45.143344,45.143344,44.917345,45.143344,-0.0565,64
2015-03-31,116100,9281259,45.143344,45.256344,45.030345,45.199844,0.0565,89
2015-04-01,206125,16495162,44.973845,45.369343,44.917345,45.199844,0.0,116
2015-04-02,75201,6005779,45.199844,45.199844,45.030345,45.199844,0.0,59
2015-04-07,135057,10748746,45.199844,45.199844,44.860845,45.030345,-0.169499,104
2015-04-08,70500,5613949,45.030345,45.086844,44.917345,44.917345,-0.113,56
2015-04-09,116460,9265460,44.917345,45.086844,44.860845,44.917345,0.0,70
2015-04-10,125674,9993094,44.917345,45.030345,44.804345,44.917345,0.0,58
2015-04-13,403405,31703618,44.634846,44.634846,43.843849,44.634846,-0.282499,202
2015-04-14,184768,14419172,44.521846,44.521846,44.013348,44.126348,-0.508498,128
2015-04-15,204551,16034903,44.069848,44.634846,43.956848,44.578346,0.451998,136
2015-04-16,63490,4964058,44.352347,44.408847,44.013348,44.239347,-0.338999,65
2015-04-17,134323,10496150,44.069848,44.465347,44.069848,44.408847,0.1695,67
2015-04-20,115369,8969728,44.182848,44.295847,43.61785,43.674349,-0.734498,106
2015-04-21,260527,20135251,43.674349,44.069848,43.50485,43.61785,-0.056499,99
2015-04-22,42498,3291043,43.61785,43.956848,43.61785,43.61785,0.0,41
2015-04-23,281200,21744600,43.61785,44.069848,43.61785,43.674349,0.056499,113
2015-04-24,96200,7497220,43.843849,44.182848,43.787349,43.787349,0.113,83
2015-04-27,197723,15346873,43.787349,44.069848,43.674349,43.787349,0.0,128
2015-04-28,108000,8409999,43.787349,44.069848,43.787349,44.069848,0.282499,62
2015-04-29,283416,22209634,44.069848,44.634846,44.013348,44.465347,0.395499,159
2015-04-30,84665,6683800,44.860845,44.860845,44.408847,44.691346,0.225999,77
2015-05-04,38834,3054634,44.691346,44.691346,44.239347,44.239347,-0.451999,42
2015-05-05,30302,2381225,44.239347,44.634846,44.239347,44.521846,0.282499,34
2015-05-06,117100,9170979,44.352347,44.352347,44.013348,44.352347,-0.169499,66
2015-05-07,32055,2515145,44.352347,44.465347,44.069848,44.239347,-0.113,38
2015-05-08,395485,31291102,44.069848,45.086844,44.069848,44.973845,0.734498,205
2015-05-11,174021,13746883,44.860845,44.860845,44.465347,44.747846,-0.225999,121
2015-05-12,69050,5469100,44.747846,44.860845,44.521846,44.521846,-0.226,57
2015-05-13,105126,8266968,44.860845,44.860845,44.126348,44.408847,-0.112999,58
2015-05-14,123959,9678594,44.408847,44.408847,44.013348,44.126348,-0.282499,106
2015-05-15,40150,3139150,44.126348,44.465347,44.126348,44.352347,0.225999,25
2015-05-18,109140,8548452,44.069848,44.465347,44.069848,44.352347,0.0,62
2015-05-19,52125,4084760,44.465347,44.578346,44.126348,44.182848,-0.169499,45
2015-05-20,125191,9787980,44.578346,44.578346,43.956848,44.295847,0.112999,66
2015-05-21,101301,7935879,44.295847,44.408847,43.843849,44.352347,0.0565,66
2015-05-22,66729,5203634,44.352347,44.352347,43.956848,44.069848,-0.282499,52
2015-05-25,111308,8676442,44.352347,44.352347,43.956848,44.182848,0.113,68
2015-05-26,57092,4466549,44.352347,44.352347,44.069848,44.182848,0.0,32
2015-05-27,31192,2437509,44.182848,44.352347,44.069848,44.069848,-0.113,32
2015-05-28,62132,4838275,44.295847,44.295847,43.843849,44.069848,0.0,42
2015-05-29,108408,8468785,43.956848,44.295847,43.956848,44.295847,0.225999,59
2015-06-01,60213,4698605,44.352347,44.352347,44.069848,44.126348,-0.169499,35
2015-06-02,24250,1894198,44.069848,44.182848,44.069848,44.126348,0.0,26
2015-06-03,47727,3717706,44.126348,44.126348,43.843849,44.013348,-0.113,42
2015-06-04,120343,9305012,44.013348,44.013348,43.50485,43.56135,-0.451998,105
2015-06-05,137010,10530575,43.56135,43.56135,43.278851,43.50485,-0.0565,93
2015-06-08,106500,8200999,43.222351,44.352347,43.109351,43.674349,0.169499,67
2015-06-09,75200,5792459,43.674349,43.674349,43.39185,43.50485,-0.169499,48
2015-06-10,53000,4078100,43.50485,43.787349,43.278851,43.50485,0.0,41
2015-06-11,132100,9997600,43.165851,43.165851,42.374854,42.826852,-0.677998,106
2015-06-12,86185,6476423,42.996352,42.996352,42.374854,42.431354,-0.395498,68
2015-06-15,44225,3352675,44.069848,44.069848,42.657353,42.713853,0.282499,37
2015-06-16,113108,8452464,42.657353,42.657353,42.035855,42.035855,-0.677998,69
2015-06-17,277358,20323892,41.922855,41.922855,41.188358,41.753356,-0.282499,176
2015-06-18,125200,9134200,41.640356,41.640356,41.018858,41.301358,-0.451998,89
2015-06-22,99102,7244856,41.244858,41.527357,41.018858,41.470857,0.169499,77
2015-06-23,161620,11908260,41.470857,42.092355,41.470857,42.035855,0.564998,47
2015-06-24,42000,3122200,42.035855,42.205354,41.809856,42.092355,0.0565,28
2015-06-25,45641,3407257,42.092355,42.318354,41.979355,42.318354,0.225999,40
2015-06-26,54500,4083700,42.318354,42.600853,42.148855,42.374854,0.0565,42
2015-06-29,51000,3789900,42.374854,42.374854,41.809856,41.922855,-0.451999,42
2015-06-30,102500,7654100,42.092355,42.374854,41.922855,42.374854,0.451999,60
2015-07-01,90886,6920977,42.487853,43.33535,42.487853,42.826852,0.451998,84
2015-07-02,43333,3301941,42.826852,43.787349,42.713853,43.165851,0.338999,40
2015-07-03,96280,7300544,43.44835,43.44835,42.544353,43.33535,0.169499,71
2015-07-06,44638,3421626,43.50485,43.50485,43.109351,43.109351,-0.225999,44
2015-07-07,51299,3921423,43.39185,43.44835,42.939852,43.222351,0.113,48
2015-07-08,74593,5653268,43.165851,43.165851,42.544353,42.939852,-0.282499,81
2015-07-09,108255,8121126,42.487853,42.544353,42.205354,42.544353,-0.395499,102
2015-07-13,248909,18712238,42.544353,42.600853,42.374854,42.544353,0.0,135
2015-07-14,564200,42545879,42.374854,43.109351,42.374854,42.939852,0.395499,260
2015-07-15,476230,33748360,43.060809,43.121288,42.697937,42.758416,-0.181436,243
2015-07-16,44000,3120300,42.818895,43.121288,42.758416,43.060809,0.302393,33
2015-07-17,71520,5099479,43.060809,43.242245,42.939852,43.000331,-0.060478,58
2015-07-20,50052,3563418,43.060809,43.121288,43.000331,43.000331,0.0,34
2015-07-21,45100,3220960,43.302724,43.302724,43.060809,43.302724,0.302393,38
2015-07-22,208050,14784385,43.242245,43.423681,42.818895,43.000331,-0.302393,70
2015-07-23,137396,9786551,42.939852,43.363203,42.939852,43.242245,0.241914,85
2015-07-24,51203,3639494,43.000331,43.242245,42.939852,43.121288,-0.120957,27
2015-07-27,234400,16632400,43.121288,43.302724,42.697937,42.758416,-0.362872,102
