date,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2015-01-05,11289717,145743472,6.250707,6.250707,6.178583,6.226666,-0.024041,2779
2015-01-06,28656562,363859293,6.202625,6.202625,6.058378,6.058378,-0.168288,6824
2015-01-07,12457640,157786986,6.082419,6.130501,6.058378,6.082419,0.024041,3317
2015-01-08,12526420,160161491,6.130501,6.178583,6.10646,6.154542,0.072123,2278
2015-01-09,9699121,124356403,6.202625,6.202625,6.130501,6.154542,0.0,1913
2015-01-12,11195516,142986694,6.130501,6.154542,6.10646,6.154542,0.0,3545
2015-01-13,19349993,249112719,6.130501,6.226666,6.130501,6.202625,0.048083,5386
2015-01-14,15457779,198126332,6.202625,6.226666,6.130501,6.130501,-0.072124,3645
2015-01-15,13098415,166949758,6.130501,6.178583,6.10646,6.10646,-0.024041,2088
2015-01-16,17107698,215933264,6.082419,6.10646,6.058378,6.058378,-0.048082,3958
2015-01-19,8898789,113052194,6.10646,6.130501,6.082419,6.10646,0.048082,1788
2015-01-20,8631568,109942076,6.130501,6.154542,6.10646,6.10646,0.0,1805
2015-01-21,10618825,135377332,6.154542,6.154542,6.082419,6.130501,0.024041,2835
2015-01-22,9508053,122187883,6.154542,6.202625,6.154542,6.202625,0.072124,2476
2015-01-23,25524960,331895268,6.250707,6.274748,6.226666,6.250707,0.048082,4347
2015-01-26,11985527,155544076,6.250707,6.274748,6.202625,6.250707,0.0,1829
2015-01-27,17974974,233760362,6.250707,6.274748,6.226666,6.274748,0.024041,3413
2015-01-28,13850214,180820432,6.250707,6.298789,6.226666,6.298789,0.024041,4138
2015-01-29,17724030,228727746,6.250707,6.250707,6.178583,6.178583,-0.120206,3737
2015-01-30,10024766,129093810,6.178583,6.226666,6.178583,6.178583,0.0,2780
2015-02-02,10185720,130949314,6.202625,6.226666,6.154542,6.178583,0.0,1999
2015-02-03,8425236,108501194,6.202625,6.226666,6.178583,6.202625,0.024042,1838
2015-02-04,14651475,189744875,6.202625,6.250707,6.202625,6.202625,0.0,3382
2015-02-05,6968717,90370988,6.226666,6.250707,6.202625,6.250707,0.048082,1257
2015-02-06,6453227,83683298,6.250707,6.250707,6.202625,6.250707,0.0,1596
2015-02-09,7058132,91389823,6.250707,6.250707,6.202625,6.250707,0.0,1764
2015-02-10,9131092,118038533,6.202625,6.250707,6.202625,6.202625,-0.048082,2142
2015-02-11,8686232,112088614,6.202625,6.226666,6.178583,6.202625,0.0,2277
2015-02-12,7267812,93887292,6.202625,6.226666,6.178583,6.226666,0.024041,1709
2015-02-13,8998274,116637596,6.250707,6.250707,6.226666,6.226666,0.0,2817
2015-02-24,24804823,320963203,6.226666,6.250707,6.202625,6.202625,-0.024041,5661
2015-02-25,15910631,205561609,6.250707,6.250707,6.202625,6.202625,0.0,4018
2015-02-26,19521654,251328141,6.226666,6.226666,6.178583,6.178583,-0.024042,4484
2015-03-02,32386992,414475284,6.202625,6.226666,6.10646,6.130501,-0.048082,4976
2015-03-03,21529931,273750527,6.130501,6.154542,6.082419,6.10646,-0.024041,4275
2015-03-04,19675681,249032603,6.10646,6.130501,6.058378,6.082419,-0.024041,4276
2015-03-05,16613903,209850231,6.082419,6.10646,6.058378,6.058378,-0.024041,3053
2015-03-06,16973139,214749003,6.058378,6.10646,6.058378,6.082419,0.024041,2757
2015-03-09,13876414,174950762,6.058378,6.082419,6.058378,6.058378,-0.024041,3395
2015-03-10,13826190,174585988,6.058378,6.10646,6.058378,6.058378,0.0,2855
2015-03-11,15647667,197105151,6.058378,6.082419,6.034336,6.058378,0.0,3716
2015-03-12,16119033,204503665,6.082419,6.130501,6.058378,6.130501,0.072123,3211
2015-03-13,15571587,197667555,6.130501,6.130501,6.082419,6.082419,-0.048082,2886
2015-03-16,20986889,264533263,6.082419,6.10646,6.034336,6.034336,-0.048083,4449
2015-03-17,9740890,123143223,6.058378,6.10646,6.058378,6.058378,0.024042,1718
2015-03-18,13086929,165942652,6.082419,6.10646,6.058378,6.10646,0.048082,2935
2015-03-19,11881987,150976953,6.10646,6.130501,6.082419,6.10646,0.0,2665
2015-03-20,14157697,179173744,6.10646,6.10646,6.058378,6.10646,0.0,2172
2015-03-23,39771136,512149526,6.130501,6.226666,6.130501,6.202625,0.096165,6077
